"area","key","es-SP"
"apply","selectContactsInstructions","Para agregar contactos a esta solicitud, haga clic en el botón Añadir Contactos"
"apply","selectContactsInstructions","Seleccione los contactos de la organización para agregar a esta aplicación"
"apply","selectContactsInstructionsModal","Para agregar contactos a esta solicitud, haga clic en Nuevo Contacto para introducir la información de contacto a continuación"
"apply","selectContactsInstructionsNote","Nota: Estos contactos NO tendrán acceso para ver/editar esta solicitud. Si desea compartir la solicitud, use el botón de Compartir con un Colaborador. "
"apply","selected","Seleccionado"
"apply","selectNonprofit","Seleccionar una organización"
"apply","selectOrganization","Haga clic en SELECCIONAR para elegir su organización. Luego haga clic en GUARDAR Y CONTINUAR."
"apply","shareRequest","Compartir con un colaborador"
"apply","shareTooltip","Permitir que un colega vea y edite esta solicitud."
"apply","shareTooltipDisabled","Debe elegir una organización antes de compartir esta solicitud."
"apply","submitFailure","No ha llenado esta parte de la solicitud"
"apply","submitRequest","enviar su solicitud"
"apply","submitSuccess","Ha solicitado una subvención de forma exitosa. Ahora se revisará su solicitud."
"apply","submitWarning","Al enviarla, se bloqueará su petición y no podrá de hacer ningún cambio."
"apply","uploadFile","Cargar archivo"
"apply","uploadFileDesc","Seleccionar su archivo"
"apply","viewAllReports","Ver todos los informes"
"apply","viewAllRequests","Ver todas las solicitudes"
"common","2013","2013"
"common","2013","2013"
"common","2014","2014"
"common","2014","2014"
"common","2015","2015"
"common","2015","2015"
"common","2016","2016"
"common","2016","2016"
"common","2017","2017"
"common","2017","2017"
"common","2018","2018"
"common","2018","2018"
"common","2019","2019"
"common","2019","2019"
"common","abandon","Abandonar"
"common","about","Acerca de"
"common","aboutProgram","Más información sobre este programa"
"common","aboutProject","Más información sobre este proyecto"
"common","accountSettings","Ajustes de la Cuenta"
"common","action","Acción"
"common","actions","Acciones"
"common","add","Añadir"
"common","addAComment","Agregar un comentario"
"common","additionalInfo","Información adicional"
"common","addNew","Agregar nuevo"
"common","address","Dirección"
"common","addressLine1","Dirección 1"
"common","addressLine2","Dirección 2"
"common","administrator","Administrador"
"common","administrators","Administradores"
"common","allCoworkers","Encontrar compañeros de trabajo"
"common","allCoworkers","Todos los compañeros de trabajo"
"common","amFollowing","Estoy siguiendo"
"common","amount","Cantidad"
"common","anonymous","Anónimo"
"common","applicant","Solicitante"
"common","applicants","Solicitantes"
"common","apply","Aplicar"
"common","applyTooltip","Presentar solicitud para este programa"
"common","approvalConfirmation","Confirmación de aprobación"
"common","approvals","Aprobaciones"
"common","approvalUpdated","Aprobación actualizada"
"common","archive","Archivo"
"common","archive","Archivo"
"common","areYouSure","Está seguro que desea"
"common","assignmentSelector","Por favor, seleccione una asignación para anexar a los coordinadores:"
"common","attended","Asistió"
"common","authDashboard","Panel"
"common","award","Nombre"
"common","award","Premio"
"common","awarded","Asignados"
"common","awards","Adjudicaciones"
"common","awards","Premios"
"common","back","Regresar"
"common","beingLoggedOut","Se está cerrando su sesión en el sistema."
"common","boardGrant","Subvención de la Junta"
"common","boardParticipation","Participación de la Junta"
"common","boardPosition","Posición en la Junta"
"common","byInitiative","Por iniciativa"
"common","byOrganization","Por organización"
"common","byProgram","Por programa"
"common","cancel","Cancelar"
"common","cancelled","Cancelado"
"common","cancelRequest","Cancelar solicitud"
"common","city","Ciudad"
"common","claimCongrats","¡Felicidades! Ha declarado una organización."
"common","clear","Eliminar"
"common","clickHere","Haga clic aquí"
"common","clickHereLower","clic aquí"
"common","close","Cerrar"
"common","closed","Cerrado"
"common","comments","Comentarios"
"common","companyImpact","Impacto de la empresa"
"common","companyInitiatives","Iniciativas de la empresa"
"common","complete","Completo"
"common","confirm","Confirmar"
"common","congratulationsMessage","¡Felicitaciones! Usted recibió un pago de"
"common","contact","Contacto"
"common","contacts","Contactos"
"common","contacts","Contactos"
"common","continue","Continuar"
"common","country","País"
"common","county","Condado"
"common","coworker","Compañero de trabajo"
"common","coworkers","Compañeros de trabajo"
"common","createdAt","Creado el"
"common","currentLocation","Ubicación actual"
"common","cycle","Ciclo"
"common","cycleOpen","Ciclo Abierto"
"common","cycles","Ciclos"
"common","dashboard","Panel"
"common","date","Fecha"
"common","dateComplete","Fecha Completo"
"common","dateFormat","mm/dd/aaaa HH:ii P"
"common","datepickerPlaceholder","MM / DD / AAAA HH: MM AM / PM"
"common","datePlaceholder","MM / DD / AA"
"common","datePlaceholderLong","MM/DD/AAAA"
"common","dates","Fechas"
"common","dateVolunteered","Fecha del voluntariado"
"common","dateVolunteered","Fecha Voluntariado"
"common","deadlinePassed","Fecha tope pasada"
"common","decisionRecordCreated","¡El registro de decisión fue creado!"
"common","decline","Rechazar"
"common","delete","Borrar"
"common","description","Descripción"
"common","deselect","Anular la selección"
"common","details","Detalles"
"common","disabled","Inhabilitado"
"common","disableSummaryVisibility","Deshabilitar la Vista del Resumen"
"common","documentUpload","Subir documento"
"common","dollars","Dólares"
"common","donateNowButton","Donar ahora"
"common","donations","Donaciones"
"common","draft","Borrador"
"common","dueDate","Fecha tope"
"common","edit","Editar"
"common","editDelete","Editar / eliminar"
"common","editOrgInfo","Editar Organización"
"common","editRequest","Editar Solicitud"
"common","einIfApp","Número de Identificación del Empleado de Estados Unidos (si aplica)"
"common","email","Correo electrónico"
"common","emailCoworker","Correo electrónico del colega"
"common","employeeParticipation","Participación de los empleados"
"common","employmentDetails","Detalles del empleo"
"common","enableSummaryVisibility","Habilitar Vista del Resumen"
"common","endDate","Fecha de finalización"
"common","endTime","Hora de finalización"
"common","enroll","Inscribirse"
"common","enrollEnd","Finalización de la inscripción"
"common","enrollStart","Inicio de la inscripción"
"common","enterYourZip","¡Ingrese su ubicación en la casilla de búsqueda para encontrar proyectos cerca de usted!"
"common","error","Error"
"common","errorMsg0","Una donación mínima de $"
"common","errorMsg0","Una donación mínima de"
"common","errorMsg1"," se requiere para"
"common","errorMsg2"," donaciones."
"common","errorMsg4"," es necesaria para recibir una donación de contrapartida como parte de este programa."
"common","errorMsg5","No tiene ningún límite los fondos de contrapartida disponibles para este programa."
"common","errorMsg6","Tiene $"
"common","errorMsg6","Usted posee"
"common","errorMsg7"," disponibles en fondos de contrapartida para este programa."
"common","errorMsg8","Usted no es elegible para una coincidencia en este programa."
"common","errorMsg9","Usted no posee fondos restantes coincidentes con este programa."
"common","errorMsgDate","Por favor asegúrese de que la fecha de finalización de su proyecto sea DESPUÉS de la fecha de inicio del proyecto."
"common","event","Proyecto"
"common","faq","Preguntas más frecuentes"
"common","faqLong","Preguntas más frecuentes"
"common","faqs","Preguntas más frecuentes"
"common","fileRemoveSuccess","Archivo eliminado con éxito"
"common","filterBy","Filtrar por"
"common","firstName","Primer nombre"
"common","for","para"
"common","friends","Amigos"
"common","friendsFamily","Amigos y Familia"
"common","give","Donar"
"common","giveLater","Donare más tarde"
"common","giveNow","¡Donar ahora!"
"common","giving","Donar"
"common","givingHistory","Historia de donaciones"
"common","givingHistoryDescription"," Vea su historial personal de donaciones."
"common","givingHistoryTitle"," Ver Historial de donaciones"
"common","goalMet","¡Objetivo cumplido!"
"common","goals","Objetivos"
"common","grant","Otorgar"
"common","grantStatus","Estado de la subvención"
"common","grantType","Tipo de subvención"
"common","group","Grupo"
"common","groupGiving","Grupo donante"
"common","groupImpact","Grupo impacto"
"common","groups","Grupos"
"common","groupStatsSelect","Seleccione las estadísticas de su grupo."
"common","groupVolunteering","Grupo de Voluntariado"
"common","haveSupported","He apoyado"
"common","help","¡Ayuda!"
"common","here","aquí"
"common","hi","Hola"
"common","history","Historia"
"common","history","Historial"
"common","historyDoesNotExist","No existe historial"
"common","historyLoading","Cargando la historia..."
"common","home","Inicio"
"common","homeAddress","Dirección"
"common","hours","Horas"
"common","hoursType","Tipo de horas"
"common","iAgreeTo","Estoy de acuerdo"
"common","impact","Impacto"
"common","in","en"
"common","incomplete","Incompleto"
"common","information","Información"
"common","initiative","Iniciativa"
"common","inReview","En Revisión"
"common","instructions","Instrucciones"
"common","invite","Invitar"
"common","invitedByApprovals","Invitado por"
"common","inviteOnly","Sólo Invitar"
"common","join","Únete"
"common","lastName","Apellido"
"common","lastName","Apellidos"
"common","lastUpdate","Última actualización"
"common","learnMore","Más información"
"common","less","Menos"
"common","loading","Enviar Acuerdo."
"common","login","Inicio de sesión"
"common","loi","Carta de Intenciones"
"common","loiDeclined","Carta de Intenciones Rechazada"
"common","loiSubmitted","Carta de Intenciones Enviada"
"common","makeadonation","Hacer una donación"
"common","makeadonation","Hacer una donación"
"common","makeadonationDescription"," Consulte los programas de donación disponibles y haga una donación."
"common","makeadonationHome"," Hacer una donación"
"common","manage","Administrar"
"common","manage","Administrar"
"common","matching","Contraparte"
"common","matchingGifts","Donaciones de contraparte"
"common","matchingGiftsTooltip","igualará su donación"
"common","message","Mensaje"
"common","messages","Mensajes"
"common","messageSent","Mensaje enviado."
"common","messaging","Mensajería"
"common","missingFields","Faltan campos obligatorios en el formulario"
"common","mission","Misión"
"common","mission","Misión"
"common","mobilePhone","Teléfono Móvil"
"common","more","Más"
"common","moreInfo","Más información"
"common","moveOnToPrograms","Pasos a seguir: ¡Revise nuestros programas y llene una solicitud!"
"common","moveToAward","Mover a Adjudicación"
"common","myBudget","Mi presupuesto"
"common","mygiving","Mis donaciones"
"common","myGroupImpact","Mi grupo impacta"
"common","myimpact","Mi impacto"
"common","myOrganizations","Mis organizaciones"
"common","myOrganizations","Mis organizaciones"
"common","myself","Yo"
"common","na","N/A"
"common","name","Nombre"
"common","new","Nueva"
"common","next","Próximo(a)"
"common","no","No"
"common","noActivePrograms","En este momento no hay programas de voluntariado activos. Contáctese con el administrador de su sistema para obtener ayuda."
"common","noAvailablePrograms","Actualmente este programa no está aceptando solicitudes."
"common","noFileUploaded","No se cargó ningún archivo"
"common","nonprofit","Organismo"
"common","nonprofit","Organización sin fines de lucro"
"common","nonprofits","Organizaciones sin fines de lucro"
"common","nonprofits","Organizaciones"
"common","noPaths","Las Rutas de aprobación no fueron establecidas."
"common","noProgramsAvailable","Lo sentimos, en este momento no hay programas disponibles."
"common","notAwarded","No asignado"
"common","notfound","No se encuentra esta página."
"common","notfoundexp","La información que busca no se encuentra o ya no existe."
"common","oneTime","Deducción única"
"common","ongoing","Vigentes"
"common","open","Abierto"
"common","openEnEnd","La Inscripción abierta para Deducciones de nómina finaliza"
"common","openEnrollOngoing"," La Inscripción abierta para este programa es continua"
"common","openings","Aberturas"
"common","optional","(Opcional)"
"common","optOut","Exclusión"
"common","optSuccess","Usted ha sido excluido satisfactoriamente"
"common","or","o"
"common","organization","Organismo"
"common","organizations","Organizaciones"
"common","orgsThat","Organizaciones que ..."
"common","orgWarnNote","Nota: Si procede, seleccione un proyecto para el cual registrar horas."
"common","other","Otros"
"common","overview","Información general"
"common","page","Página"
"common","participants","Participantes"
"common","participation","Participación"
"common","password","Contraseña"
"common","paycheck","cheque de pago"
"common","payments","Pagos"
"common","payrollDedSaved"," Deducción de nómina guardada"
"common","payrollDeduction","Deducción de la Nómina"
"common","payrollDeductions","Deducciones de la nómina"
"common","payrollDets","Detalles de Deducción de nómina"
"common","per","por"
"common","personal","Personal"
"common","personalDetails","Detalles personales"
"common","personalHours","Horas personales"
"common","phone","Número de teléfono"
"common","pleaseSelect","Por favor, seleccione…"
"common","pleaseWait","Por favor espere..."
"common","preview","Vista previa"
"common","previous","Previo"
"common","print","Imprimir"
"common","privacy","Privacidad"
"common","private","Privado"
"common","profile","Perfil"
"common","program","Programa"
"common","programIsNoLongerActive","Este programa ya no está activo"
"common","programs","Programas"
"common","progressReport","Informe de avance"
"common","progressReport","Informe de progreso"
"common","progressReports","Informes de avance"
"common","progressReports","Informes de progreso"
"common","project","Proyecto"
"common","projectHours","Horas del Proyecto"
"common","projects","Proyectos"
"common","public","Público"
"common","questions","Preguntas"
"common","recipient","Destinatario"
"common","recipient","Destinatario"
"common","recordADonation","Registre una donación"
"common","referredBy","Referido por:"
"common","remainingMatchFunds","Fondos de la contraparte disponibles"
"common","remainingMatchFundsExplanation","Esta es la cantidad restante de las donaciones de la contrapartida para la cual usted es elegible durante este año fiscal."
"common","remove","Eliminar"
"common","remove","Quitar"
"common","removeVolunteer","Quitar voluntario"
"common","removeVolunteerPrompt","¿Está seguro que desea eliminar este voluntario de esta asignación?"
"common","reports","Informes"
"common","request","Solicitud"
"common","requestAMatch","Solicite una contrapartida"
"common","requestedAmount","Monto solicitado"
"common","requester","Solicitante"
"common","requests","Solicitudes"
"common","require","Requerir"
"common","required","requerido"
"common","return","Devolución"
"common","returnToApplicant","Devolución al Solicitante"
"common","returnToDashboard","Volver al tablero"
"common","review","Revisión"
"common","reviews","Revisiones"
"common","role","Rol"
"common","roster","Lista"
"common","save","Guardar"
"common","saved","Guardado"
"common","saving","Guardando"
"common","savingDed","Guardando Deducción de nómina"
"common","search","Búsqueda"
"common","select","Seleccionar"
"common","selectAll","Seleccionar todo"
"common","selectAllPages","Seleccionar todas las páginas"
"common","selectAProgram","Por favor seleccione un programa para solicitar"
"common","selectAVolunteerProgram","Seleccione un programa de voluntariado"
"common","selected","Seleccionado"
"common","selectedNonprofit","Organización seleccionada"
"common","selectedOrganization","Organización seleccionada"
"common","selectOrganization","Seleccione una Organización"
"common","selectProgram","Seleccionar Programa"
"common","send","Enviar"
"common","sending","Enviando"
"common","setagoal","Establezca una meta"
"common","settings","Ajustes"
"common","setupPayrollDeduction","Donaciones de la nomina"
"common","shirt","Talla de franela"
"common","showing","Mostrando"
"common","signIn","Ingresar"
"common","signOut","Salir"
"common","signUp","Registrarse"
"common","size","Tamaño"
"common","skills","Habilidades"
"common","sorryErr","Lo sentimos, algo salió mal."
"common","specialInstructions","Instrucciones Especiales"
"common","sponsor","Patrocinador"
"common","start","Inicio"
"common","startDate","Fecha de inicio"
"common","startTime","Hora de inicio"
"common","state","Estado"
"common","stateProv","Estado/Provincia"
"common","status","Estado"
"common","streetAddress","Dirección"
"common","subject","Asunto"
"common","submission","Fecha enviada"
"common","submission","Tiempo de Envío"
"common","submit","Enviar"
"common","submitChanges","Enviar cambios"
"common","submitted","Enviado"
"common","submittedDate","Fecha de envío"
"common","success","¡Éxito!"
"common","suggestProject","Sugerir proyecto"
"common","summary","Resumen"
"common","team","Equipo"
"common","termED","Fecha de finalización del término"
"common","termSD","Fecha del inicio del término"
"common","text","Texto"
"common","thisProgram","Este programa no permite editar o cancelar deducciones después de la finalización de la inscripción abierta"
"common","thisYear","Este Año"
"common","timePlaceholder","HH: MM AM / PM"
"common","title","Título"
"common","togoal","a la meta"
"common","total","Total"
"common","totalGiving","Total de donaciones"
"common","totalHours","Total de horas"
"common","totalHoursPage","Horas totales de la página"
"common","totalImpact","Impacto total"
"common","totalParticipation","Participación total"
"common","tourTitle","Recorrido"
"common","type","Tipos"
"common","types","Tipos"
"common","unclaimOrg","Retírese como solicitante por esta organización"
"common","unclaimOrgHelper","Retirarse como solicitante le impedirá solicitar a nombre de esta organización"
"common","unlimited","Ilimitado"
"common","unlimited","Sin limite"
"common","unsavedInvitations","Invitaciones sin guardar"
"common","unsavedInvitationsPrompt","No se han enviado sus invitaciones. ¿Está seguro que desea cerrar la ventana?"
"common","upcoming","Próxima"
"common","updating","Cargando nuevamente información..."
"common","upload","Subir"
"common","userPreferences","Preferencias del Usuario"
"common","users","Usuarios"
"common","view","Ver"
"common","viewAll","Ver todos"
"common","viewAll","Ver todos"
"common","viewAllAwards","Ver todas las adjudicaciones"
"common","viewFullDescription","Ver descripción completa"
"common","viewFullDesctiption","Ver descripción completa"
"common","viewProgram","Ver Programa"
"common","viewPrograms","Ver programas"
"common","viewPrograms","Ver Programas"
"common","virtualProject","Proyecto Virtual"
"common","virtualProjects","Proyectos Virtuales"
"common","volunteer","Voluntario"
"common","volunteerDate","Fecha del voluntariado"
"common","volunteerGrantHistory","Historial de subvenciones a voluntarios"
"common","volunteerGrants","Donaciones de los voluntarios"
"common","volunteerHours","Horas de voluntariado"
"common","volunteering","Voluntariado"
"common","volunteerLater","Trabajare como voluntario (a) mas tarde"
"common","volunteerNow","¡Voluntarios Ahora!"
"common","volunteerParticipation","Participación de voluntarios"
"common","volunteers","Voluntarios"
"common","volunteerTooltip","Ofrecerse como voluntario para este proyecto"
"common","workAddress","Dirección del trabajo"
"common","year","Año"
"common","yes","Sí"
"common","youHaveBeenAdded","Usted fue agregado"
"common","youHaveBeenRemoved","Usted fue eliminado"
"common","yourDecision","Su decisión"
"common","yourEnrolled1","Actualmente, usted está inscrito en"
"common","yourEnrolled2","deducciones de nómina activas para este programa"
"common","zipCityState","Código postal, ciudad o estado"
"company","",""
"company","pageTitle","Iniciativas de la empresa"
"dashboard","apply","Solicitar"
"dashboard","applyForGrant","Solicitar una subvención"
"dashboard","claim","Solicitud"
"dashboard","claimAnOrg","Declarar una organización"
"dashboard","claimedOrg","organización declarada"
"dashboard","claimedOrgs","organizaciones declaradas"
"dashboard","claimNon"," ¡Solicitud de su organización!"
"dashboard","claimNon","¡Declare su organización sin fines de lucro!"
"dashboard","dashboard","Panel"
"dashboard","faq","Preguntas más frecuentes"
"dashboard","featuredPrograms","Programas destacados"
"dashboard","filter1Year","1 año"
"dashboard","filter30Days","30 días"
"dashboard","filter6Months","6 meses"
"dashboard","filter90Days","90 días"
"dashboard","getStarted","Empezar"
"dashboard","inProgress","En curso"
"dashboard","inProgressTitle","Elementos de trabajo recientes"
"dashboard","iWantTo","Quiero..."
"dashboard","lastUpdatedDate","Última actualización"
"dashboard","manageAll","Administrar Todo"
"dashboard","messages","Mensajes"
"dashboard","myNons","Mis organizaciones"
"dashboard","newMessageText","Tiene% 1 mensaje(s) nuevo(s)"
"dashboard","noMessages","Actualmente no tiene ningún mensaje."
"dashboard","noOrgAlert"," ¡Por favor, comience primero solicitando su organización!"
"dashboard","noRequestFilter","No tiene ningún artículo de trabajo en"
"dashboard","noRequests","No tiene ninguna solicitud asignada para su revisión en"
"dashboard","payments","Pagos"
"dashboard","programs","Programas"
"dashboard","recognize","Reconocer"
"dashboard","remaining","Quedan"
"dashboard","requestStatus","Usted no tiene ninguna solicitud aún. Para hacer una solicitud,"
"dashboard","reviewOurPrograms","¡Revise nuestros programas!"
"dashboard","reviewPrograms","Revisión de los programas disponibles para solicitar."
"dashboard","spent","Gastado"
"dashboard","startClaim","¡Por favor comience declarando primero una organización!"
"dashboard","stats","Estadísticas"
"dashboard","step1","Paso 1: Declarar su organización"
"dashboard","step1Complete","Paso 1: COMPLETO"
"dashboard","step2","Paso 2: Revise nuestros programas"
"dashboard","step3","Paso 3: Haga su solicitud"
"dashboard","toApply","Para hacer su solicitud, haga clic en el botón Solicitar al lado del programa abierto."
"dashboard","totalAwarded","Total adjudicado"
"dashboard","totalRequested","Total solicitado"
"dashboard","viewAvil","ver Programas disponibles"
"dashboard","voteAndNominate","Votar y nominar"
"dashboard","youHave","Tiene"
"donate","addOrgEmail","está en su base de datos, pero no ha proporcinoado información de contacto actualizada. La caridad debe verificar su donación antes de que su coincidencia de regalo pueda ser procesada. Por favor, bronde una dirección de correo electrónico para contactar a la organización."
"donate","amountDonated","Escriba el monto que donó"
"donate","billingAddress","Dirección de facturación"
"donate","cardExpirationDate","mm / aaaa"
"donate","cardNumber","Número de tarjeta"
"donate","clickUploadReceipt","Haga clic aquí para cargar su comprobante"
"donate","cvCode","Código del CV"
"donate","dateAfterStartDate","La fecha debe ubicarse sobre o después de la Fecha de Inicio del Programa:"
"donate","dedication","Dedicar este regalo a un amigo o ser querido"
"donate","dollarType","$"
"donate","donate","Donar"
"donate","donateNowTooltip","Hacer una donación en línea con tarjeta de crédito y solicitar una contrapartida si es elegible."
"donate","donateNowTooltip","Hacer una donación en línea usando su tarjeta de crédito."
"donate","donationDate","Introduzca la fecha en la que dio la donación"
"donate","donationType","Tipo de donación"
"donate","enterAmountDeducted","Escriba el monto que desea que retiren anualmente"
"donate","enterAmountOnetime","Ingrese el monto que usted desea que sea deducido por única vez"
"donate","enterAmountPaycheck","Escriba el monto que desea que retiren de cada pago de sueldo"
"donate","enterHonoreeName","Escriba el nombre del homenajeado"
"donate","enterHonoreeName","Su nombre"
"donate","errorProcessingCC","Hubo un error al procesar su tarjeta de crédito."
"donate","errorProcessingTransaction","Hubo un error al procesar su transacción"
"donate","estimatedLabel","El monto estimado de su Coincidencia de Regalo:"
"donate","estimatedLabel","Monto estimado de su subvención de contrapartida:"
"donate","expirationDate","Fecha de Vencimiento"
"donate","givingProgram","Programa de donación"
"donate","inHonorOf","En honor a"
"donate","inMemoryOf","En recuerdo de"
"donate","inputDonationAmount","Escriba la cantidad que desea donar"
"donate","isRequired","se requiere para donaciones de nómina"
"donate","makeAnonymously","Hacer esta donación anónima"
"donate","matchingGrant","El monto de su Coincidencia de Regalo no puede exceder"
"donate","matchingGrant","El monto de su subvención por contrapartida no puede exceder"
"donate","matchingRequested","Se ha solicitado su su regalo por contrapartida"
"donate","minimumOf","Un mínimo de"
"donate","nameAsItAppears","Nombre como aparece en la tarjeta"
"donate","noFuturePayment","¡La fecha no puede estar en el futuro!"
"donate","noProgramsAvailable","No hay programas de donaciones disponibles para la organización seleccionada"
