area,key,de-DE
apply,applicantInformation,Antragstellerinformationen
apply,backToReviews,Zurück zur Übersicht
apply,cancelConfirmKey,Ihren Förderungsantrag abbrechen
apply,cancelHelperKey,"Wenn Sie Ihren Antrag abbrechen, haben Sie nicht mehr länger Zugriff auf diesen Antrag oder die eingegebenen Daten."
apply,cycleFinished,
apply,cycleIssue1,"Basierend auf Ihren Antworten, sind Sie berechtigt für "
apply,cycleIssue2, wo gerade keine Anträge angenommen werden.
apply,cycleNotStarted,Bitte versuchen Sie es erneut am
apply,eligibilityConfirmed,"Glückwunsch, Sie sind berechtigt, sich für dieses Programm zu bewerben"
apply,eligibilityDenied,"Es sieht so aus, als ob Sie die Zugangsbedingungen für dieses Programm nicht erfüllen. Bitte wenden Sie sich an unsere Webseite und/oder die Programm-Richtlinie, um weitere Informationen zu erhalten. Danke für Ihr Interesse!"
apply,eligibilityNotSetUp,"Bitte entschuldigen Sie die entstandenen Unannehmlichkeiten, aber es sieht so aus, als ob Eignung noch nicht eingerichtet wurde. Bitte versuchen Sie es später erneut!"
apply,id,ID
apply,missedDeadlineMessage,"Leider haben Sie die Deadline für diesen Förderzeitraum verpasst. Bitte kontaktieren Sie den Zuschussadministrator, falls Sie Fragen haben."
apply,myOrganizations,Meine Organisationen
apply,newCollaborator,Neue Mitarbeiter
apply,noForms,Für dieses Programm stehen keine Formulare zur Verfügung. Bitte versuchen Sie es später erneut.
apply,organizationContacts,Organisationskontakte
apply,organizationInfo,Organisationsinformationen
apply,previewTooltip,Vorschau und dieses Antragsformular drucken
apply,progressReportFor,Zwischenbericht für
apply,requestFor,Antrag für
apply,reviewFor,Bericht für
apply,saveAsDraft,Als Entwurf speichern
apply,saveCollaborator,Mitarbeiter speichern
apply,saveCollaborators,Mitarbeiter speichern
apply,saveCollaboratorsSuccess,Ihre Mitarbeiter wurden eingeladen.
apply,saveForLater,Für später speichern
apply,saveProgress,Fortschritt speichern
apply,saveSuccessful,Fortschritt gespeichert!
apply,selectCollaboratorsInstructionsModal,"Um diesem Antrag Mitarbeiter hinzuzufügen, wählen Sie diesen unten aus der Kontakteliste aus oder fügen Sie einen neuen hinzu, indem Sie auf Neuer Mitarbeiter klicken."
apply,selectCollaboratorsWarning,"Hinweis: Nur ein Antragsteller kann diesen Antrag jeweils bearbeiten oder Sie riskieren, alle Daten zu verlieren."
apply,selectContactsInstructions,"Um diesem Antrag Kontakte hinzuzufügen, klicken Sie auf den Button Kontakte hinzufügen"
apply,selectContactsInstructionsModal,"Um diesem Antrag Kontakte hinzuzufügen, klicken Sie auf Neuer Kontakt, um unten die Kontaktinformationen einzugeben"
apply,selectOrganization,Wählen Sie eine Organisation aus
apply,shareRequest,Mit einem Mitarbeiter teilen
apply,shareTooltip,"Erlauben Sie einem Kollegen, diesen Antrag anzusehen und zu bearbeiten."
apply,shareTooltipDisabled,"Sie müssen eine Organisation auswählen, bevor Sie diesen Antrag teilen."
apply,submitFailure,Sie haben dieser Teil des Antrags nicht ausgefüllt
apply,submitRequest,Ihren Antrag senden
apply,submitSuccess,Sie haben sich für diesen Zuschuss erfolgreich beworben. Ihr Antrag wird jetzt überprüft.
apply,submitWarning,"Wenn Sie Ihren Antrag senden, wird dieser geschlossen und Sie können keine Änderungen mehr vornehmen."
apply,uploadFile,Datei hochladen
apply,uploadFileDesc,Wählen Sie Ihre Datei aus
apply,viewAllReports,Alle Berichte ansehen
apply,viewAllRequests,Alle Anträge ansehen
apply,addApplicants,Bewerber hinzufügen
apply,collaborators,Mitarbeiter
apply,cycleIssue2,akzeptiert im Moment keine Anträge.
apply,duplicateEmail,E-Mail kann nicht dieselbe wie des aktuellen Besuchers sein.
apply,newApplicant,Neuer Bewerber
apply,oneAtATime,"Bitte beachten Sie, dass Sie jeweils nur einen Bewerber auswählen können. Der erste Bewerber, den Sie auswählen, wird zum Hauptbewerber. Alle, die danach ausgewählt werden, werden Bewerber-Mitarbeiter. Alle ausgewählten Bewerber haben Zugriff auf die Anwendung. "
apply,organizationApplicants,Organisationsbewerber
apply,organizationApplicantsInstructions,"Ein Organisationsbewerber ist erforderlich. Sie können einen oder mehrere Bewerber hinzufügen, indem Sie auf den Button ""Bewerber hinzufügen"" klicken."
apply,requestContacts,Kontakte anfragen
apply,saveApplicant,Bewerber speichern
apply,saveApplicants,Bewerber speichern
apply,saveApplicantSuccess,Ihre Bewerber wurden eingeladen.
apply,selectApplicantsInstructionsModal,"Um diesem Antrag einen Bewerber hinzuzufügen, wählen Sie einen unten aus der Kontaktliste aus oder fügen Sie einen neuen hinzu, indem Sie auf ""Neuer Bewerber"" klicken."
apply,selectCollaboratorsInstructionsModal,"Um diesem Antrag einen Mitarbeiter hinzuzufügen, wählen Sie einen unten aus der Kontaktliste aus oder fügen Sie einen neuen hinzu, indem Sie auf ""Neuer Mitarbeiter"" klicken."
apply,selectCollaboratorsInstructionsModalEmp,"Um diesem Antrag einen Mitarbeiter hinzuzufügen, wählen Sie einen unten aus der Kontaktliste aus."
apply,selectCollaboratorsWarning,"Hinweis: Sie können jeweils nur einen Bewerber bearbeiten oder Sie riskieren, Daten zu verlieren."
apply,selectCollaboratorsWarning2,"Wenn ein Bewerber eingeladen wurde, können Sie ihn nicht entfernen. Bitte sprechen Sie mit Ihrem Systemadministrator, falls Sie einen Bewerber entfernen möchte, den Sie bereits eingeladen haben."
apply,selectContactsInstructions,"Klicken Sie auf den Button ""Kontakte hinzufügen"", um Organisationskontakte hinzuzufügen oder anzuhängen, die für diese Anfrage relevant sind."
apply,selectContactsInstructionsNote,"Hinweis: Diese Kontakte können diese Anfragen NICHT sehen/bearbeiten. Falls Sie diese Anfrage teilen möchten, nutzen Sie bitte den Button ""Mit Mitarbeitern teilen"". "
common,contacts,Kontakte
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,about,Über
common,actions,Aktionen
common,add,Hinzufügen
common,address,Adresse
common,allCoworkers,Alle Mitarbeiter
common,amFollowing,Ich folge
common,amount,Betrag
common,anonymous,Anonymus
common,apply,Anwenden
common,assignmentSelector,"Wählen Sie bitte ein Aufgabengebiet, der Sie Koordinatoren hinzufügen möchten:"
common,attended,Besucht
common,authDashboard,Dashboard
common,back,Zurück
common,byInitiative,Nach Initiative
common,byOrganization,Nach Organisation
common,byProgram,Nach Programm
common,cancel,Löschen
common,clear,Streichen
common,clickHere,Hier klicken
common,close,Schließen
common,companyImpact,Auswirkung auf das Unternehmen
common,companyInitiatives,Initiativen des Unternehmens
common,congratulationsMessage,Herzlichen Glückwunsch! Sie erhielten eine Zahlung über
common,contact,Kontakt
common,coworker,Mitarbeiter
common,coworkers,Mitarbeiter
common,createdAt,Erstellt am
common,cycleOpen,Zyklus offen
common,date,Datum
common,dateFormat,dd.mm.yyyy HH:ii
common,datePlaceholder,MM/TT/JJ
common,dashboard,Dashboard
common,delete,Löschen
common,details,Details
common,disabled,Deaktiviert
common,documentUpload,Dokument-Upload
common,dollars,Dollar
common,donateNowButton,Jetzt spenden
common,edit,Bearbeiten
common,email,E-Mail
common,employeeParticipation,Mitarbeiterbeteiligung
common,endDate,End-Datum
common,endTime,Endzeit
common,event,Projekt
common,faq,FAQ
common,faqLong,Häufig gestellte Fragen
common,faqs,FAQs
common,friends,Freunde
common,friendsFamily,Freunde und Verwandte
common,give,Geben
common,giveLater,Ich spende später
common,giveNow,Spenden Sie jetzt!
common,giving,Spenden
common,givingHistory,Spenden-Vergangenheit
common,goals,Ziele
common,grant,Beihilfe
common,group,Gruppe
common,groupGiving,Gruppenspende!
common,groupImpact,Auswirkung der Gruppe
common,groups,Gruppen
common,haveSupported,Ich habe unterstützt
common,help,Hilfe!
common,here,hier
common,historyDoesNotExist,Es gibt keine Vergangenheit
common,hi,Hallo
common,home,Start
common,hours,Stunden
common,impact,Auswirkung
common,initiative,Initiative
common,information,Information
common,instructions,Anweisungen
common,invite,Einladen
common,inviteOnly,Nur einladen
common,in,in
common,join,Beitreten
common,learnMore,Mehr erfahren
common,less,Weniger
common,makeadonation,Leiste eine Spende!
common,matching,Passend
common,matchingGifts,Passende Geschenke
common,message,Mitteilung
common,messages,Mitteilungen
common,messaging,Mitteilungen senden
common,mobilePhone,Mobiltelefon
common,more,Mehr
common,moreInfo,Mehr Informationen
common,mygiving,Meine Spenden
common,myimpact,Meine Auswirkungen
common,myGroupImpact,Die Auswirkungen meiner Gruppe
common,myOrganizations,Meine Organisationen
common,name,Name
common,new,Neu
common,next,Weiter
common,no,Nein
common,nonprofits,Organisationen
common,ongoing,Fortlaufend
common,optional,(optional)
common,organization,Organisation
common,orgsThat,"Organisationen, die ..."
common,other,Sonstiges
common,overview,Überblick
common,participants,Teilnehmer
common,participation,Teilnahme
common,paycheck,Gehaltsabrechnung
common,payments,Zahlungen
common,payrollDeduction,Gehaltsabzug
common,payrollDeductions,Gehaltsabzüge
common,per,per
common,personalHours,Persönliche Stunden
common,phone,Telefonnummer
common,preview,Vorschau
common,previous,Vorherig
common,privacy,Privatsphäre
common,private,Privat
common,profile,Profil
common,program,Programm
common,programs,Programme
common,programIsNoLongerActive,Dieses Programm ist nicht mehr aktiv
common,projects,Projekte
common,projectHours,Projektstunden
common,public,Öffentlich
common,questions,Fragen
common,recordADonation,Zeichnen Sie ein Spende auf
common,remainingMatchFunds,Verfügbare passende Mittel
common,remainingMatchFundsExplanation,"Das ist der Restbetrag der passenden Geschenke, zu dem Sie in diesem Finanzjahr berechtigt sind."
common,requestAMatch,Verlangen Sie ein Übereinstimmung
common,roster,Dienstplan
common,save,Speichern
common,search,Suchen
common,select,Wählen
common,selected,Gewählt
common,selectAVolunteerProgram,Wähen Sie ein Freiwilligenprogramm
common,selectedNonprofit,Gewählte Organisation
common,selectOrganization,Wählen Sie eine Organisation
common,send,Senden
common,setagoal,Setzen Sie ein Ziel
common,settings,Einstellungen
common,setupPayrollDeduction,Gehaltsspenden
common,signOut,Abmelden
common,signUp,Registrieren
common,skills,Fähigkeiten
common,sponsor,Sponsor
common,startDate,Start-Datum
common,startTime,Startzeit
common,state,Zustand
common,status,Status
common,streetAddress,Straßen-Adresse
common,submission,Zeitpunkt der Einsendung
common,submit,Einsenden
common,subject,Betreff
common,timePlaceholder,HH:MM Vormittag / Nachmittag
common,title,Titel
common,text,Text
common,togoal,zum Ziel
common,total,Gesamt
common,totalGiving,Gesamte Spende
common,totalHours,Gesamte Stunden
common,totalImpact,Gesamte Auswirkung
common,openings,Freie Plätze
common,totalParticipation,Gesamte Teilnahme
common,tourTitle,Tour
common,type,Art
common,unlimited,Keine max
common,upload,Hochladen
common,users,Benutzer
common,viewFullDesctiption,Volle Beschreibung ansehen
common,volunteer,Freiwilliger
common,volunteers,Freiwillige
common,volunteerDate,Datum der freiwilligen Mitarbeit
common,volunteerGrants,Freiwilligen-Beihilfe
common,volunteering,Ehrenamtliche Mitarbeit
common,volunteerLater,Ich werde später ehrenamtlich mitarbeiten
common,volunteerNow,Jetzt ehrenamtlich mitarbeiten!
common,volunteerParticipation,Teilnahme der Freiwilligen
common,year,Jahr
common,yes,Ja
common,zipCityState,"Postleitzahl, Stadt oder Land"
common,awards,Auszeichnungen
common,manage,Verwalten
common,requests,Anfragen
common,reports,Berichte
common,viewAll,Alle ansehen
common,city,Stadt
common,country,Land
common,nonprofit,Organisation
common,recipient,Empfänger
common,specialInstructions,Besondere Anweisungen
common,cancelRequest,Anfrage stornieren
common,remove,Entfernen
common,thisYear,Dieses Jahr
common,award,Auszeichnung
common,progressReport,Erfahrungsbericht
common,progressReports,Erfahrungsberichte
common,request,Anfrage
common,submitted,Eingesandt
common,archive,Archiv
common,history,Vergangenheit
common,mission,Mission
common,viewPrograms,Programme ansehen
common,award,Name
common,firstName,Vorname
common,description,Beschreibung
common,lastName,Nachname
common,password,Passwort
common,shirt,Hemdengröße
common,datepickerPlaceholder,MM/TT/JJJJ HH:MM Vormittags/Nachmittags
common,signIn,Anmelden
common,dateVolunteered,Datum der ehrenamtlichen Mitarbeit
common,suggestProject,Projekt vorschlagen
common,abandon,Abbrechen
common,aboutProgram,Mehr über dieses Programm erfahren
common,aboutProject,Mehr über dieses Programm erfahren
common,action,Aktion
common,addNew,Neu hinzufügen
common,administrator,Administrator
common,administrators,Administratoren
common,allCoworkers,Mitarbeiter finden
common,applicant,Antragsteller
common,applyTooltip,Für dieses Programm bewerben
common,areYouSure,"Sind Sie sicher, dass Sie"
common,awards,Zuschläge
common,beingLoggedOut,Sie werden abgemeldet.
common,boardGrant,Kommissionszuschuss
common,boardParticipation,Kommissionsbeteiligung
common,boardPosition,Kommissionsposition
common,cancelled,Abgebrochen
common,claimCongrats,Glückwunsch! Sie haben eine Organisation beansprucht.
common,closed,Geschlossen
common,complete,Abgeschlossen
common,confirm,Bestätigen
common,contacts,Kontakte
common,continue,Weiter
common,cycle,Zeitraum
common,dateComplete,Datum des Abschlusses
common,dates,Daten
common,dateFormat,MM/TT/JJJ HH:ii P
common,dateVolunteered,"Datum, an dem sich freiwillig gemeldet wurde"
common,deadlinePassed,Abgelaufene Deadline
common,deselect,Auswahl aufheben
common,donations,Spenden
common,dueDate,Fälligkeitsdatum
common,editDelete,Bearbeiten / Löschen
common,editOrgInfo,Organisation in DonateWell bearbeiten
common,error,Fehler
common,errorMsg0,Eine Mindestspende in Höhe von
common,errorMsg1, wird benötigt für
common,errorMsg2, Spenden.
common,errorMsg4," wird benötigt, um ein Match als Teil dieses Programms zu erhalten."
common,errorMsg5,Sie haben kein Limit in verfügbaren Matching-Funds für dieses Programm.
common,errorMsg6,Sie haben
common,errorMsg7, übrig an verfügbaren Matching-Funds für dieses Programm.
common,errorMsgDate,"Bitte stellen Sie sicher, dass das Enddatum Ihres Projektes NACH dem Anfangsdatum des Projektes liegt."
common,fileRemoveSuccess,Datei erfolgreich entfernt
common,filterBy,Filtern nach
common,for,für
common,grantStatus,Zuschuss-Status
common,historyLoading,Verlauf wird geladen  . . .
common,history,Verlauf
common,hoursType,Stundentyp
common,lastName,Nachname
common,lastUpdate,Letztes Update
common,login,Anmelden
common,manage,Verwalten
common,matchingGiftsTooltip,wird Ihre Spende anpassen
common,mission,Mission
common,missingFields,Auf diesem Formular wurden Pflichtfelder nicht ausgefüllt
common,moveOnToPrograms,Nächste Schritte: Sehen Sie sich unsere Programme an und bewerben Sie sich!
common,myBudget,Mein Budget
common,myOrganizations,Meine Organisationen
common,noAvailablePrograms,Dieses Programm akzeptiert derzeit keine Anträge.
common,nonprofit,Gemeinnütziges Unternehmen
common,nonprofits,Gemeinnützige Unternehmen
common,notfound,Diese Seite wurde nicht gefunden.
common,notfoundexp,"Die Informationen, nach denen Sie suchen, wurden nicht gefunden oder existieren nicht mehr."
common,noFileUploaded,Keine Datei hochgeladen
common,open,Offen
common,or,oder
common,organizations,Organisationen
common,orgWarnNote,"Hinweis: Falls dies zutrifft, wählen Sie bitte ein Programm aus, um Stunden dafür zu sammeln."
common,page,Seite
common,pleaseWait,Bitte warten ...
common,print,Drucken
common,progressReport,Zwischenbericht
common,progressReports,Zwischenberichte
common,project,Projekt
common,recipient,Empfänger
common,remove,Entfernen
common,removeVolunteer,Freiwilligen entfernen
common,removeVolunteerPrompt,"Sind Sie sicher, dass Sie diesen Freiwilligen von dieser Aufgabe entfernen möchten?"
common,require,Erforderlich
common,returnToDashboard,Zurück zum Dashboard
common,review,Bericht
common,reviews,Berichte
common,role,Rolle
common,selectAll,Alle auswählen
common,selectAllPages,Alle Seiten auswählen
common,selectAProgram,Bitte wählen Sie ein Programm zum Bewerben aus
common,selectedOrganization,Ausgewählte Organisation
common,showing,Wird angezeigt
common,start,Start
common,submittedDate,Datum der Einreichung
common,success,Erfolg!
common,summary,Zusammenfassung
common,totalHoursPage,Gesamtstunden auf der Seite
common,unclaimOrg,entfernen Sie sich selbst als Antragsteller für diese Organisation
common,unclaimOrgHelper,"Wenn Sie sich selbst als Antragsteller bewerben, können Sie sich nicht mehr im Namen dieser Organisation bewerben"
common,unsavedInvitations,Nicht gespeicherte Einladungen
common,unsavedInvitationsPrompt,"Ihre Einladungen wurden nicht gesendet. Sind Sie sicher, dass Sie dieses Fenster schließen möchten?"
common,updating,Informationen werden aktualisert ...
common,upcoming,Bevorstehend
common,view,Anzeigen
common,viewAll,Alle Anzeigen
common,viewFullDescription,Komplette Beschreibung anzeigen
common,viewPrograms,Programme anzeigen
common,volunteerGrantHistory,Freiwilligen-Zuschussverlauf
common,volunteerHours,Freiwilligen-Stunden
common,volunteerTooltip,Sich für dieses Projekt als Freiwilliger melden
common,viewAllAwards,Alle Zuschläge sehen
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,accountSettings,Konto-Einstellungen
common,addressLine1,Adresszeile 1
common,addressLine2,Adresszeile 2
common,applicants,Bewerber
common,archive,Archiv
common,awarded,Zugesprochen
common,clickHereLower,Hier klicken
common,county,Bundesland
common,datePlaceholderLong,MM/TT/JJJJ
common,disableSummaryVisibility,Zusammenfassungsansicht deaktivieren
common,draft,Entwurf
common,einIfApp,EIN (falls anwendbar) (Arbeitgeberidentifizierungsnummer)
common,emailCoworker,Kollegen-E-Mail
common,employmentDetails,Arbeitgeberdetails
common,enableSummaryVisibility,Zusammenfassungsansicht aktivieren
common,errorMsg0,Eine Mindestspende in Höhe von
common,errorMsg6,Sie haben
common,errorMsg8,Sie sind für eine Anpassung für dieses Programm nicht berechtigt.
common,errorMsg9,Sie haben kein Geld für dieses Programm übrig.
common,givingHistoryTitle,Spendenverlauf ansehen
common,givingHistoryDescription,Sehen Sie sich Ihren persönlichen Spendenverlauf an.
common,goalMet,Ziel erreicht!
common,groupStatsSelect,Wählen Sie Ihre Gruppenstatistiken aus
common,groupVolunteering,Gruppen-Freiwilligentätigkeit
common,homeAddress,Wohnadresse
common,grantType,Förderart
common,incomplete,Unvollständig
common,inReview,Wird überprüft
common,loading,Lädt
common,loi,Absichtserklärung
common,loiDeclined,Absichtserklärung abgelehnt
common,loiSubmitted,Absichtserklärung eingereicht
common,makeadonation,Spenden
common,makeadonationDescription,Sehen Sie sich verfügbare Spendenprogramme an und spenden Sie
common,notAwarded,Nicht zugesprochen
common,personalDetails,Persönliche Details
common,pleaseSelect,Bitte auswählen …
common,requestedAmount,Angefragter Betrag
common,required,erforderlich
common,saved,Gespeichert
common,saving,Wird gespeichert
common,size,Größe
common,stateProv,Staat/Bundesland
common,submission,Einreichungsdatum
common,termSD,Anfangsdatum der Laufzeit
common,termED,Enddatum der Laufzeit
common,unlimited,Unbegrenzt
common,userPreferences,Benutzerpräferenzen
common,virtualProject,Virtuelles Projekt
common,virtualProjects,Virtuelle Projekte
common,workAddress,Arbeitsplatzadresse
company,pageTitle,Initiativen des Unternehmens
company,,
dashboard,apply,Anwenden
dashboard,claim,Beanspruchen
dashboard,claimNon,Beanspruchen Sie Ihre Organisation!
dashboard,dashboard,Dashboard
dashboard,faq,FAQs
dashboard,featuredPrograms,Ausgewählte Programme
dashboard,inProgress,In Bearbeitung
dashboard,manageAll,Alles verwalten
dashboard,messages,Mitteilungen
dashboard,myNons,Meine Organisationen
dashboard,newMessageText,Sie haben %1 neue Mitteilungen
dashboard,noMessages,Sie haben derzeit keine Mitteilungen.
dashboard,noOrgAlert,"Beginnen Sie bitte damit, zuerst Ihre Organisation zu nennen!"
dashboard,payments,Zahlungen
dashboard,programs,Programme
dashboard,requestStatus,"Sie haben noch keine Anfragen. Um mit einer Bewerbung zu beginnen, "
dashboard,stats,Statistiken
dashboard,viewAvil,verfügbare Programme ansehen
dashboard,applyForGrant,Für einen Zuschuss bewerben
dashboard,claimedOrg,beanspruchte Organisation
dashboard,claimedOrgs,beanspruchte Organisationen
dashboard,claimAnOrg,Eine Organisation beanspruchen
dashboard,claimNon,Beanspruchen Sie Ihr gemeinnütziges Unternehmen
dashboard,filter1Year,1 Jahr
dashboard,filter30Days,30 Tage
dashboard,filter6Months,6 Monate
dashboard,filter90Days,90 Tage
dashboard,getStarted,Anfangen
dashboard,lastUpdatedDate,Zuletzt aktualisiert
dashboard,inProgressTitle,Aktuelle Arbeitselemente
dashboard,iWantTo,Ich möchte ...
dashboard,noRequests,Sie haben noch keine Anträge zum Überprüfen zugewiesen
dashboard,noRequestFilter,Sie haben keine Arbeitselemente in
dashboard,recognize,Erkennen
dashboard,remaining,Verbleibend
dashboard,reviewPrograms,"Die Programme, die zum Bewerben zur Verfügung stehen, überprüfen."
dashboard,reviewOurPrograms,Unsere Programme überprüfen
dashboard,spent,Ausgegeben
dashboard,startClaim,"Bitte beginnen Sie, indem Sie eine Organisation beanspruchen!"
dashboard,step1,Schritt 1: Beanspruchen Sie Ihre Organisation
dashboard,step1Complete,Schritt 1: ABSCHLIESSEN
dashboard,step2,Schritt 2: Überprüfen Sie unsere Programme
dashboard,step3,Schritt 3: Antrag stellen
dashboard,toApply,"Um einen Antrag zu stellen, klicken Sie bitte auf den Button Antrag stellen neben dem offenen Programm."
dashboard,totalAwarded,Insgesamt erhalten
dashboard,totalRequested,Insgesamt angefragt
dashboard,voteAndNominate,Abstimmen & Nominieren
dashboard,youHave,Sie haben
donate,billingAddress,Rechnungsadresse
donate,cardNumber,Kartennummer
donate,cardExpirationDate,MM/JJJJ
donate,clickUploadReceipt,"Klicken Sie hier, um Ihre Quittung hochzuladen"
donate,cvCode,Sicherheitscode
donate,dedication,Widmen Sie dieses Geschenk einem Freund / einer Freundin oder einem geliebten Menschen
donate,donationDate,"Geben Sie das Datum an, an dem Sie die Spende geleistet haben"
donate,donationType,Art der Spende
donate,donateNowTooltip,"Leisten Sie mit Ihrer Kreditkarte eine Online-Spende und verlangen Sie ein Match, sofern berechtigt."
donate,enterHonoreeName,Deren Name
donate,expirationDate,Verfalldatum
donate,inHonorOf,Zu Ehren von
donate,inMemoryOf,In Erinnerung an
donate,givingProgram,Spenden-Programm
donate,makeAnonymously,Diese Spende soll anonym sein
donate,nameAsItAppears,"Der Name ist der gleiche, wie er auf der Karte erscheint"
donate,pageTitleOnline,Jetzt spenden
donate,pageTitleOffline,Zeichnen Sie ein Spende auf
donate,pageTitlePayroll,Gehaltsabzug
donate,paymentDetails,Zahlungs-Details
donate,postalCode,Postanschrift
donate,recordDonationTooltip,"Tragen Sie eine Spende ein, die Sie woanders vorgenommen haben, und verlangen Sie eine Übereinstimmung (Match), sofern berechtigt."
donate,requestMatch,Verlangen Sie eine Übereinstimmung (Match)
donate,s,
donate,selectedNonprofit,Gewählte Organisation
donate,selectANonprofit,Wählen Sie eine Organisation
donate,selectedOrganization,Die gewählte Organisation ist für die folgenden Spendenprogramme qualifiziert
donate,selectGivingProgram,Wählen Sie bitte ein Spendenprogramm aus
donate,setupDeductionTooltip,Richten Sie einen neuen Gehaltsabzug ein.
donate,state,Zustand
donate,specificPurpose,"Bitten Sie die Organisation, die Spende für einen bestimmten Zweck zu verwenden"
donate,streetAddress,Straßen-Adresse
donate,toDonateSearch,"Wählen Sie bitte einen Empfänger für Ihre Spende - suchen sie nach Name, Ort oder Steur-ID."
donate,uploadReceipt,"Laden Sie eine Kopie der Quittung hoch, die Sie für diese Spende erhalten haben."
donate,validCardNumber,Gültige Kartennummer
donate,amountDonated,"Geben Sie den Betrag ein, den Sie gespendet haben"
donate,donate,Spenden
donate,dollarType,$
donate,donateNowTooltip,Spenden Sie mit Ihrer Kreditkarte online.
donate,enterAmountDeducted,"Geben Sie den Betrag ein, den Sie jährlich abbuchen lassen möchten"
donate,enterAmountPaycheck,Geben Sie den Betrag ein den Sie von jeder Gehaltszahlung abbuchen lassen möchten
donate,enterHonoreeName,Geben Sie den Namen Preisträgers ein
donate,errorProcessingTransaction,Beim Verarbeiten Ihrer Transaktion ist ein Fehler aufgetreten
donate,estimatedLabel,Ihr geschätzter Matching-Fundbetrag:
donate,inputDonationAmount,"Geben Sie den Betrag ein, den Sie spenden möchten"
donate,isRequired,wird für Abzüge vom Gehalt benötigt
donate,matchingGrant,Ihr Matching-Fundbetrag kann den folgenden Betrag nicht übersteigen
donate,matchingRequested,Ihre Matching-Spende wurde angefragt
donate,minimumOf,Mindestens
donate,noFuturePayment,Das Datum kann nicht in der Zukunft liegen!
donate,noProgramsAvailable,Für die ausgewählte Organisation stehen keine Giving-Programme zur Verfügung
donate,orgAdded,wurde Ihrer Liste der unterstützten Organisationen hinzugefügt
donate,payrollDeductionCreated,Ihre Gehaltsabbuchung wurde erstellt
donate,processingPayment,Ihre Zahlung wird verarbeitet
donate,recordDonation,Spende aufzeichnen
donate,recordDonationTooltip,"Eine Spende aufzeichnen, die Sie woanders getätigt haben."
donate,savePayrollDeduction,Gehaltsabbuchung speichern
donate,selectedNonprofit,Ausgewählte Organisation
donate,selectANonprofit,Eine Organisation auswählen
donate,thankYouForDonation,Danke für Ihre Spende
donate,thankYouOffline,"Danke, dass Sie Ihre Offline-Spende aufgezeichnet haben"
donate,viewEligibleOrganizations,Berechtigte Organisationen anzeigen
