area,key,nl-NL
apply,oneAtATime,Houd in gedachten dat u slechts één aanvrager per keer kunt selecteren. De eerste door u geselecteerde aanvrager wordt de 'primaire aanvrager'. De daarna geselecteerde aanvragers worden medewerkers van de aanvrager. Alle geselecteerde aanvragers hebben toegang tot de aanvraag.
apply,organizationApplicants,Organisatieaanvragers
apply,organizationApplicantsInstructions,Een organisatieaanvrager is vereist. U kunt een of meerdere aanvragers toevoegen door op de knop Aanvragers toevoegen te klikken.
apply,requestContacts,Contacten verzoeken
apply,saveApplicant,Aanvrager opslaan
apply,saveApplicants,Aanvragers opslaan
apply,saveApplicantSuccess,Uw aanvragers zijn uitgenodigd.
apply,selectApplicantsInstructionsModal,Selecteer aanvragers uit de onderstaande contactenlijst om ze aan deze aanvraag toe te voegen. Voeg een nieuwe toe door op Nieuwe aanvrager te klikken.
apply,selectCollaboratorsInstructionsModal,Selecteer medewerkers voor deze aanvraag uit de onderstaande contactenlijst om ze aan deze aanvraag toe te voegen. Voeg een nieuwe medewerker toe door op Nieuwe medewerker te klikken.
apply,selectCollaboratorsInstructionsModalEmp,Selecteer medewerkers voor deze aanvraag uit de onderstaande contactenlijst.
apply,selectCollaboratorsWarning,"Opmerking: De aanvraag mag door slechts één aanvrager tegelijkertijd worden bewerkt, om te voorkomen dat er gegevens worden verloren."
apply,selectCollaboratorsWarning2,"Zodra een aanvrager is uitgenodigd, kunt u deze niet verwijderen. Overleg met uw systeembeheerder als u een aanvrager die al is uitgenodigd wilt verwijderen."
apply,selectContactsInstructions,Klik op de knop Contacten toevoegen om zakelijke contacten toe te voegen die relevant zijn voor deze aanvraag.
apply,selectContactsInstructionsNote,"Opmerking: Deze contacten hebben GEEN toegang tot het bekijken/bewerken van deze aanvraag. Als u de aanvraag wilt delen, kunt u de knop Met medewerker delen gebruiken."
common,contacts,Contacten
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,about,Over
common,actions,Handelingen
common,add,Toevoegen
common,address,Adres
common,allCoworkers,Alle collega's
common,amFollowing,Ik volg
common,amount,Aantal
common,anonymous,Anoniem
common,apply,Aanvragen
common,assignmentSelector,Selecteer een opdracht om cošrdinatoren aan toe te wijzen:
common,attended,Bijgewoond
common,authDashboard,Dashboard
common,back,Terug
common,byInitiative,Op initiatief
common,byOrganization,Op organisatie
common,byProgram,Op programma
common,cancel,Annuleren
common,clear,Wissen
common,clickHere,Klik hier
common,close,Sluiten
common,companyImpact,Bedrijfsimpact
common,companyInitiatives,Bedrijfsinitiatieven
common,congratulationsMessage,Gefeliciteerd! U heeft een betaling ontvangen ten bedrage van
common,contact,Contact
common,coworker,Collega
common,coworkers,Collega's
common,createdAt,Aangemaakt op
common,cycleOpen,Aanvraagperiode open
common,date,Datum
common,datePlaceholder,MM/DD/JJ
common,dashboard,Dashboard
common,delete,Verwijderen
common,details,Details
common,disabled,Uitgeschakeld
common,documentUpload,Document uploaden
common,dollars,Dollar
common,donateNowButton,Doneer nu
common,edit,Bewerken
common,email,E-mailadres
common,employeeParticipation,Werknemersparticipatie
common,endDate,Einddatum
common,endTime,Eindtijd
common,event,Project
common,faq,faq
common,faqLong,Meest gestelde vragen
common,faqs,FAQs
common,friends,Vrienden
common,friendsFamily,Familie en vrienden
common,give,Geef
common,giveLater,Ik geef later
common,giveNow,Geef nu!
common,giving,Geven
common,givingHistory,Geefgeschiedenis
common,goals,Doelen
common,grant,Toekennen
common,group,Groep
common,groupGiving,Groepsgeven
common,groupImpact,Groepsimpact
common,groups,Groepen
common,haveSupported,Ik heb steun verleend aan
common,help,Help!
common,here,hier
common,historyDoesNotExist,Geschiedenis bestaat niet
common,hi,Hallo
common,home,Startpagina
common,hours,Uren
common,impact,Impact
common,initiative,Initiatief
common,information,Informatie
common,instructions,Instructies
common,invite,Uitnodigen
common,inviteOnly,Invite-only
common,in,in
common,join,Meedoen
common,learnMore,Meer informatie
common,less,Minder
common,makeadonation,Doneer!
common,matching,Matching
common,matchingGifts,Matching donaties
common,message,Bericht
common,messages,Berichten
common,messaging,Berichten
common,mobilePhone,Mobiele telefoon
common,more,Meer
common,moreInfo,Meer informatie
common,mygiving,Mijn donaties
common,myimpact,Mijn impact
common,myGroupImpact,Mijn groepsimpact
common,myOrganizations,Mijn organisaties
common,name,Naam
common,new,Nieuw
common,next,Volgende
common,no,Nee
common,nonprofits,Organisaties
common,ongoing,Doorlopend
common,optional,(facultatief)
common,organization,Organisatie
common,orgsThat,Organisaties dieÉ
common,other,Ander
common,overview,Overzicht
common,participants,Participanten
common,participation,Participatie
common,paycheck,salaris
common,payments,Betalingen
common,payrollDeduction,Inhouding op het salaris
common,payrollDeductions,Inhoudingen op het salaris
common,per,per
common,personalHours,Persoonlijke uren
common,phone,Telefoonnummer
common,preview,Voorbeeld
common,previous,Vorige
common,privacy,Privacy
common,private,PrivŽ
common,profile,Profiel
common,program,Programma
common,programs,Programma's
common,programIsNoLongerActive,Dit programma is niet langer actief
common,projects,Projecten
common,projectHours,Project-uren
common,public,Openbaar
common,questions,Vragen
common,recordADonation,Registreer een donatie
common,remainingMatchFunds,Beschikbare matchfondsen
common,remainingMatchFundsExplanation,Dit is het beschikbare aantal matchende giften waar u dit boekjaar voor in aanmerking komt.
common,requestAMatch,Een match verzoeken
common,roster,Rooster
common,save,Opslaan
common,search,Zoeken
common,select,Selecteren
common,selected,Geselecteerd
common,selectAVolunteerProgram,Selecteer een vrijwilligersprogramma
common,selectedNonprofit,Geselecteerde organisatie
common,selectOrganization,Selecteer een organisatie
common,send,Verzenden
common,setagoal,Stel een doel
common,settings,Instellingen
common,setupPayrollDeduction,Salarisschenkingen
common,signOut,Afmelden
common,signUp,Aanmelden
common,skills,Vaardigheden
common,sponsor,Sponsor
common,startDate,Begindatum
common,startTime,Begintijd
common,state,Staat/provincie
common,status,Status
common,streetAddress,Huisadres
common,submission,Indieningsperiode
common,submit,Indienen
common,subject,Onderwerp
common,timePlaceholder,UU:MM AM/PM
common,title,Titel
common,text,Tekst
common,togoal,naar doel
common,total,Totaal
common,totalGiving,Totaal aantal schenkingen
common,totalHours,Totaal aantal uren
common,totalImpact,Totale impact
common,openings,Openingen
common,totalParticipation,Participatietotaal
common,tourTitle,Tour
common,type,Soort
common,unlimited,Geen maximumlimiet
common,upload,Uploaden
common,users,Gebruikers
common,viewFullDesctiption,Volledige beschrijving bekijken
common,volunteer,Vrijwilliger
common,volunteers,Vrijwilligers
common,volunteerDate,Datum van vrijwilligerswerk
common,volunteerGrants,Susidies voor vrijwilligerswerk
common,volunteering,Werken als vrijwilliger
common,volunteerLater,Ik doe liever een andere keer mee als vrijwilliger
common,volunteerNow,Word nu vrijwilliger!
common,volunteerParticipation,Vrijwilligersparticipatie
common,year,Jaar
common,yes,Ja
common,zipCityState,"Postcode, plaats, of provincie/staat"
common,awards,Toekenningen
common,manage,Beheren
common,requests,Verzoeken
common,reports,Verslagen
common,viewAll,Alles bekijken
common,city,Plaats
common,country,Land
common,nonprofit,Organisatie
common,recipient,Begunstigde
common,specialInstructions,Speciale instructies
common,cancelRequest,Verzoek annuleren
common,remove,Verwijderen
common,thisYear,Dit jaar
common,award,Toekennen
common,progressReport,Voortgangsverslag
common,progressReports,Voortgangsverslagen
common,request,Verzoek
common,submitted,Ingediend
common,archive,Archief
common,history,Geschiedenis
common,mission,Missie
common,viewPrograms,Programma's bekijken
common,award,Naam
common,firstName,Voornaam
common,description,Omschrijving
common,lastName,Achternaam
common,password,Wachtwoord
common,shirt,Overhemdsmaat
common,datepickerPlaceholder,MM/DD/JJJJ UU:MM AM/PM
common,signIn,Inloggen
common,dateVolunteered,Datum van vrijwilligerswerk
common,suggestProject,Project voorstellen
common,abandon,Opgeven
common,aboutProgram,Meer informatie over dit programma
common,aboutProject,Meer informatie over dit project
common,action,Actie
common,addNew,Nieuwe ... toevoegen
common,administrator,Beheerder
common,administrators,Beheerders
common,allCoworkers,Vind collega's
common,applicant,Aanvrager
common,applyTooltip,Doe een aanvraag voor dit programma
common,areYouSure,Weet u zeker dat u … wilt
common,awards,Prijzen
common,beingLoggedOut,U wordt uitgelogd.
common,boardGrant,Bestuurssubsidie
common,boardParticipation,Bestuursdeelname
common,boardPosition,Bestuurspositie
common,cancelled,Geannuleerd
common,claimCongrats,Gefeliciteerd! U heeft een organisatie geclaimd.
common,closed,Gesloten
common,complete,Voltooien
common,confirm,Bevestigen
common,contacts,Contacten
common,continue,Doorgaan
common,cycle,Cyclus
common,dateComplete,Datum voltooid
common,dates,Data
common,dateFormat,mm/dd/jjjj HH:ii P
common,dateVolunteered,Datum van vrijwilligerswerk
common,deadlinePassed,Overschreden deadline
common,deselect,Deselecteren
common,donations,Donaties
common,dueDate,Einddatum
common,editDelete,Bewerken/verwijderen
common,editOrgInfo,Bewerk organisatie in DonateWell
common,error,Fout
common,errorMsg0,Een minimum donatie van $
common,errorMsg1, is vereist voor
common,errorMsg2, donaties.
common,errorMsg4, is vereist om een ​​evenredig bedrag te krijgen als deel van het programma.
common,errorMsg5,U heeft geen limiet aan beschikbare bijleggelden voor dit programma.
common,errorMsg6,U heeft $
common,errorMsg7, over aan beschikbare bijleggelden voor dit programma.
common,errorMsgDate,Zorg ervoor dat de einddatum van het project NA de start van het project ligt.
common,fileRemoveSuccess,Succesvol verwijderd bestand
common,filterBy,Filteren op
common,for,voor
common,grantStatus,Subsidiestatus
common,historyLoading,Geschiedenis aan het laden . . .
common,history,Geschiedenis
common,hoursType,Uren Type
common,lastName,Achternaam
common,lastUpdate,Laatste update
common,login,Aanmelden
common,manage,Beheren
common,matchingGiftsTooltip,zal uw donatie bijpassen
common,mission,Missie
common,missingFields,Er zijn bepaalde verplichte velden nog niet ingevuld op het formulier
common,moveOnToPrograms,Volgende stappen: Beoordeel onze programma's en doe een aanvraag!
common,myBudget,Mijn budget
common,myOrganizations,Mijn organisaties
common,noAvailablePrograms,Op dit moment accepteert dit programma geen aanvragen.
common,nonprofit,Non-profit
common,nonprofits,Non-profitorganisaties
common,notfound,Deze pagina kan niet worden gevonden.
common,notfoundexp,De informatie die u zoekt kan niet worden gevonden of bestaat niet meer.
common,noFileUploaded,Geen bestand geüpload
common,open,Openen
common,or,of
common,organizations,Organisaties
common,orgWarnNote,"Opmerking: Indien van toepassing, selecteer een project om uren voor aan te melden."
common,page,Pagina
common,pleaseWait,Even geduld a.u.b...
common,print,Afdrukken
common,progressReport,Voortgangsrapport
common,progressReports,Voortgangsrapporten
common,project,Project
common,recipient,Ontvanger
common,remove,Verwijderen
common,removeVolunteer,Verwijder vrijwilliger
common,removeVolunteerPrompt,Weet u zeker dat u deze vrijwilliger van deze opdracht wilt verwijderen?
common,require,Vereisen
common,returnToDashboard,Ga terug naar Dashboard
common,review,Beoordeling
common,reviews,Beoordelingen
common,role,Rol
common,selectAll,Selecteer alles
common,selectAllPages,Selecteer alle pagina's
common,selectAProgram,Selecteer een programma om een aanvraag voor in te dienen
common,selectedOrganization,Geselecteerde organisatie
common,showing,Resultaat
common,start,Start
common,submittedDate,Ingediende datum
common,success,Succes!
common,summary,Samenvatting
common,totalHoursPage,Pagina Totaal aantal uren
common,unclaimOrg,verwijder uzelf als aanvrager voor deze organisatie
common,unclaimOrgHelper,"Door uzelf als aanvrager te verwijderen, kunt u geen aanvraag indienen namens deze organisatie"
common,unsavedInvitations,Niet-opgeslagen uitnodigingen
common,unsavedInvitationsPrompt,Uw uitnodigingen zijn niet verzonden. Weet u zeker dat u het venster wilt sluiten?
common,updating,Informatie aan het verversen...
common,upcoming,Aankomende
common,view,Bekijken
common,viewAll,Bekijk alles
common,viewFullDescription,Bekijk de volledige beschrijving
common,viewPrograms,Bekijk programma's
common,volunteerGrantHistory,Geschiedenis van de vrijwilligerssubsidie
common,volunteerHours,Vrijwilligersuren
common,volunteerTooltip,Vrijwilliger voor dit project
common,viewAllAwards,Bekijk alle prijzen
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,accountSettings,Accountinstellingen
common,addressLine1,Adres regel 1
common,addressLine2,Adres regel 2
common,applicants,Aanvragers
common,archive,Archiveren
common,awarded,Toegekend
common,clickHereLower,klik hier
common,county,County
common,datePlaceholderLong,MM/DD/JJJJ
common,disableSummaryVisibility,Overzichtsweergave uitschakelen
common,draft,Concept
common,einIfApp,EIN (indien van toepassing)
common,emailCoworker,E-mailadres collega
common,employmentDetails,Gegevens dienstverband
common,enableSummaryVisibility,Overzichtsweergave inschakelen
common,errorMsg0,Een minimale donatie van
common,errorMsg6,U hebt
common,errorMsg8,U komt niet in aanmerking voor een match voor dit programma.
common,errorMsg9,U hebt geen resterende matchfondsen voor dit programma.
common,givingHistoryTitle,Schenkgeschiedenis bekijken
common,givingHistoryDescription,Bekijk uw persoonlijke schenkgeschiedenis
common,goalMet,Doel bereikt!
common,groupStatsSelect,Selecteer uw groepsstatistieken
common,groupVolunteering,Groepsvrijwilligerswerk
common,homeAddress,Huisadres
common,grantType,Soort toelage
common,incomplete,Niet compleet
common,inReview,Ter beoordeling
common,loading,Aan het laden
common,loi,Intentieverklaring
common,loiDeclined,Intentieverklaring afgewezen
common,loiSubmitted,Intentieverklaring ingediend
common,makeadonation,Doneren
common,makeadonationDescription,Bekijk beschikbare schenkprogramma's en doneer
common,notAwarded,Niet toegekend
common,personalDetails,Persoonlijke gegevens
common,pleaseSelect,Selecteer…
common,requestedAmount,Aangevraagde hoeveelheid
common,required,Vereist
common,saved,Opgeslagen
common,saving,Aan het opslaan
common,size,Grootte
common,stateProv,Staat/Provincie
common,submission,Datum ingediend
common,termSD,Begindatum termijn
common,termED,Einddatum termijn
common,unlimited,Onbeperkt
common,userPreferences,Gebruikersvoorkeuren
common,virtualProject,Virtueel project
common,virtualProjects,Virtuele projecten
common,workAddress,Werkadres
company,pageTitle,Bedrijfsinitiatieven
company,,
dashboard,apply,Aanvragen
dashboard,claim,Claimen
dashboard,claimNon,Claim uw organisatie!
dashboard,dashboard,Dashboard
dashboard,faq,FAQs
dashboard,featuredPrograms,Uitgelichte programma's
dashboard,inProgress,Bezig
dashboard,manageAll,Alles beheren
dashboard,messages,Berichten
dashboard,myNons,Mijn organisaties
dashboard,newMessageText,U heeft %1 nieuwe berichten
dashboard,noMessages,U heeft momenteel geen berichten.
dashboard,noOrgAlert,Begin eerst met claimen van uw organisatie!
dashboard,payments,Betalingen
dashboard,programs,Programma's
dashboard,requestStatus,"U heeft nog geen verzoeken. Om te beginnen een aanvraag in te dienen,"
dashboard,stats,Statistieken
dashboard,viewAvil,Bekijk beschikbare programma's
dashboard,applyForGrant,Dien een aanvraag in voor een subsidie
dashboard,claimedOrg,geclaimde organisatie
dashboard,claimedOrgs,geclaimde organisaties
dashboard,claimAnOrg,Claim een organizatie
dashboard,claimNon,Claim uw non-profit!
dashboard,filter1Year,1 jaar
dashboard,filter30Days,30 dagen
dashboard,filter6Months,6 maanden
dashboard,filter90Days,90 dagen
dashboard,getStarted,Ga aan de slag
dashboard,lastUpdatedDate,Laatst bijgewerkt
dashboard,inProgressTitle,Recente werkitems
dashboard,iWantTo,Ik wil...
dashboard,noRequests,U heeft geen verzoeken toegewezen om te beoordelen binnen
dashboard,noRequestFilter,U heeft geen werkitems binnen
dashboard,recognize,Herkennen
dashboard,remaining,Overgebleven
dashboard,reviewPrograms,Bekijk de beschikbare aanvraagprogramma's.
dashboard,reviewOurPrograms,Bekijk onze programma's
dashboard,spent,Uitgegeven
dashboard,startClaim,Begin door eerst een organisatie te claimen!
dashboard,step1,Stap 1: Claim uw organisatie
dashboard,step1Complete,Stap 1: VOLTOOI
dashboard,step2,Stap 2: Beoordeel onze programma's
dashboard,step3,Stap 3: Doe een aanvraag
dashboard,toApply,"Om een aanvraag in de dienen, klikt u op de knop Aanvragen naast het Open Programma."
dashboard,totalAwarded,Totaal bekroond
dashboard,totalRequested,Totaal aangevraagd
dashboard,voteAndNominate,Stem & nomineer
dashboard,youHave,U heeft
donate,billingAddress,Factuuradres
donate,cardNumber,Cardnummer
donate,cardExpirationDate,mm/jjjj
donate,clickUploadReceipt,Klik hier om uw kwitantie te uploaden
donate,cvCode,CV-code
donate,dedication,Draag deze schenking op aan een vriend of dierbare
donate,donationDate,Voer de datum van de donatie in
donate,donationType,Soort donatie
donate,donateNowTooltip,Maak een online donatie met gebruik van uw creditcard en dien een verzoek in voor een match als de donatie ervoor in aanmerking komt.
donate,enterHonoreeName,Hun naam
donate,expirationDate,Vervaldatum
donate,inHonorOf,Ter ere van
donate,inMemoryOf,Ter nagedachtenis van
donate,givingProgram,Schenkingsprogramma
donate,makeAnonymously,Maak deze donatie anoniem
donate,nameAsItAppears,Naam zoals deze op de card verschijnt
donate,pageTitleOnline,Doneer nu
donate,pageTitleOffline,Registreer een donatie
donate,pageTitlePayroll,Salarisinhouding
donate,paymentDetails,Betalingsgegevens
donate,postalCode,Postcode
donate,recordDonationTooltip,Registreer een donatie die u ergens anders heeft gedaan en dien een verzoek in voor een match als de donatie ervoor in aanmerking komt.
donate,requestMatch,Een match vezoeken
donate,s,
donate,selectedNonprofit,Geselecteerde organisatie
donate,selectANonprofit,Selecteer een organisatie
donate,selectedOrganization,De geselecteerde organisatie komt in aanmerking voor het volgende schenkingsprogramma
donate,selectGivingProgram,Selecteer een schenkingsprogramma
donate,setupDeductionTooltip,Stel een nieuwe salarisinhouding in.
donate,state,Staat/provincie
donate,specificPurpose,Vraag de organisatie om de donatie voor een bepaald doel te gebruiken
donate,streetAddress,Huisadres
donate,toDonateSearch,"Kies een begunstigde voor uw donatie. Selecteer op naam, locatie of op werkgeversnummer"
donate,uploadReceipt,Upload een exemplaar van de kwitantie voor deze donatie
donate,validCardNumber,Geldig cardnummer
donate,amountDonated,Voer het bedrag in dat u heeft gedoneerd
donate,donate,Doneren
donate,dollarType,$
donate,donateNowTooltip,Maak een online donatie met uw creditcard.
donate,enterAmountDeducted,Voer het bedrag in dat u jaarlijks afgeschreven wilt hebben
donate,enterAmountPaycheck,Voer het bedrag in dat u afgeschreven wilt hebben van elk salaris
donate,enterHonoreeName,Voer de naam van ontvanger in
donate,errorProcessingTransaction,Er is een fout opgetreden bij het verwerken van uw transactie
donate,estimatedLabel,Uw geschatte bijgepaste subsidiebedrag:
donate,inputDonationAmount,Voer het bedrag in dat u wilt doneren
donate,isRequired,is vereist voor donaties via de salarisstrook
donate,matchingGrant,Uw bijgepaste subsidiebedrag mag niet hoger zijn dan
donate,matchingRequested,Uw bijpassende geschenk is aangevraagd
donate,minimumOf,Minimaal
donate,noFuturePayment,De datum kan niet in de toekomst liggen!
donate,noProgramsAvailable,Er zijn geen programma's beschikbaar voor de geselecteerde organisatie
donate,orgAdded,is toegevoegd aan de lijst met ondersteunde organisaties
donate,payrollDeductionCreated,Uw donatie via de salarisstrook is gemaakt
donate,processingPayment,Uw betaling wordt verwerkt
donate,recordDonation,Donatie vermelden
donate,recordDonationTooltip,Vermeld een donatie die u elders heeft gemaakt.
donate,savePayrollDeduction,Bewaar donatie via de salarisstrook
donate,selectedNonprofit,Geselecteerde organisatie
donate,selectANonprofit,Selecteer een organisatie
donate,thankYouForDonation,Dank u voor uw donatie
donate,thankYouOffline,Dank u voor het vermelden van uw offline donatie
donate,viewEligibleOrganizations,Bekijk in aanmerking komende organisaties
donate,addOrgEmail,is in onze database maar heeft geen bijgewerkte informatie verschaft. De liefdadigheidsinstelling dient uw donatie te verifiëren voordat uw matchende schenking kan worden verwerkt. Geef een e-mailadres op om contact op te nemen met de organisatie.
donate,dateAfterStartDate,Datum moet op of na de begindatum van het programma liggen:
donate,errorProcessingCC,Er is een fout opgetreden in het verwerken van uw creditcard.
donate,estimatedLabel,Het geschatte bedrag van uw matchende schenking:
donate,matchingGrant,Het bedrag van uw matchende schenking kan niet hoger zijn dan
donate,pageTitleOffline,Laat een donatie optekenen
donate,pageTitleOnline,Nu doneren
donate,pageTitlePayroll,Looninhouding
donate,receiptSizeMsg,Upload van ontvangstbewijs mag niet meer dan 80 MB zijn
donate,selectANonprofit,Selecteer een organisatie
donate,toDonateSearch,"Kies een ontvanger voor uw donatie: Zoek op naam, locatie of op registratie-ID"
emails,acceptedToGroup,U bent toegelaten tot de groep
emails,cancellationSpace1,Er is in uw project plaats vrijgekomen vanwege een annulering van een van uw participanten. U heeft teamleden op de wachtlijst staan voor uw project. Bezoek opnieuw de
emails,cancellationSpace2,om collega's vanuit uw wachtlijst toe te voegen. Zij worden per e-mail op de hoogte gesteld dat ze als vrijwilliger aan dit project zijn toegevoegd.
emails,congratulations,Gefeliciteerd
emails,dear,Beste
emails,forgot_pwd_body,We hebben uw verzoek om uw wachtwoord te resetten ontvangen. Het nieuwe tijdelijke wachtwoord dat u kunt gebruiken om in te loggen is:
emails,forgot_pwd_link_text,Aanmelden
emails,forgot_pwd_subject,Wachtwoordreset verzoeken
emails,invitedBy,U bent uitgenodigd door
emails,leader,Leider
emails,loginToRegister,Log in op het werknemersportaal om u te registreren voor deze geweldige kans
emails,projectDate,Projectdatum
emails,signUpHere,Hier inschrijven
emails,thankYou,Bedankt
emails,thanksAgain,Bedankt weer
emails,thankCoordinator,Bedankt voor het cošrdineren van het vrijwilligersproject
emails,verify_email_body,Bedankt voor uw registratie. Klik op de onderstaande link om uw e-mailadres te bevestigen.
emails,verify_email_subject,Welkom bij Good Done Great
emails,volunteerFor,als vrijwilliger voor
emails,volunteerProject,Vrijwilligersproject
emails,addedToCommittee,U bent toegevoegd aan een beoordelingscommissie
emails,addedToCommittee1,U bent onlangs toegevoegd als lid van de
emails,addedToCommittee2,"om te helpen bij de beoordeling van ingediende aanvragen voor financiering. Dank u voor uw hulp hierbij. Om verzoeken die aan deze commissie zijn toegewezen om te beoordelen te bekijken, kunt u inloggen op de medewerkersportal en navigeren naar de Subsidie en vervolgens het Beoordelingstabblad."
emails,amountRequested,Gevraagd bedrag:
emails,applicant,Aanvrager:
emails,accessCode,Toegangscode:
