area,key,fr-FR
apply,eligibilityConfirmed,"Félicitations, vous êtes éligible pour postuler à ce programme"
apply,eligibilityDenied,Il semble que cette demande ne remplisse pas les critères d'éligibilité
apply,eligibilityNotSetUp,"Nous sommes désolés, il semble que l'éligibilité n'ait pas encore été déterminée, merci de réessayer plus tard !"
apply,id,Identifiant
apply,missedDeadlineMessage,"Malheureusement, vous avez dépassé la date limite de ce cycle de subventions. Pour toute question, veuillez contacter l'administrateur de la subvention."
apply,myOrganizations,Mes organisations
apply,newCollaborator,Nouveau collaborateur
apply,noForms,"Aucun formulaire disponible pour ce programme, merci de réessayer plus tard."
apply,organizationContacts,Contacts de l'organisation
apply,organizationInfo,Informations sur l'organisation
apply,previewTooltip,Prévisualiser et imprimer ce formulaire de demande
apply,progressReportFor,Rapport de progression pour
apply,requestFor,Demande de
apply,reviewFor,Examen de
apply,saveAsDraft,Enregistrer comme brouillon
apply,saveCollaborator,Enregistrer le collaborateur
apply,saveCollaborators,Enregistrer les collaborateurs
apply,saveCollaboratorsSuccess,Vos collaborateurs ont été invités.
apply,saveForLater,Enregistrer pour plus tard
apply,saveProgress,Enregistrer la progression
apply,saveSuccessful,Progression enregistrée !
apply,selectCollaboratorsInstructionsModal,"Pour ajouter des collaborateurs à cette demande, sélectionnez-les dans la liste de contacts ci-dessous ou ajoutez-en un nouveau en cliquant sur ""Nouveau collaborateur""."
apply,selectCollaboratorsWarning,"Remarque : la demande ne peut être modifiée que par un seul demandeur à la fois, au risque de perdre des données."
apply,selectContactsInstructions,"Pour ajouter des contacts à cette demande, cliquez sur le bouton Ajouter des contacts"
apply,selectContactsInstructionsModal,"Pour ajouter des contacts à cette demande, cliquez sur Nouveau contact pour saisir les informations du contact ci-dessous"
apply,selectOrganization,Choisir une organisation
apply,shareRequest,Partager avec un collaborateur
apply,shareTooltip,Permettre à un collègue de voir et de modifier cette demande
apply,shareTooltipDisabled,Vous devez choisir une organisation avant de partager cette demande.
apply,submitFailure,Vous n'avez pas complété cette partie de la demande
apply,submitRequest,soumettre votre demande
apply,submitSuccess,Vous avez soumis avec succès une demande de subvention. Votre demande va maintenant être examinée.
apply,submitWarning,"Une fois cette demande soumise, elle sera verrouillée, et vous ne pourrez plus y apporter de modifications."
apply,uploadFile,Télécharger un fichier
apply,uploadFileDesc,Choisir un fichier
apply,viewAllReports,Voir tous les rapports
apply,viewAllRequests,Voir toutes les demandes
apply,addApplicants,Ajouter des demandeurs
apply,collaborators,Collaborateurs
apply,cycleIssue2,qui n’acceptent pas de soumissions en ce moment.
apply,duplicateEmail,L’adresse courriel ne peut être la même que celle du visiteur actuel
apply,newApplicant,Nouveau demandeur
apply,oneAtATime,"Souvenez-vous que vous pouvez sélectionner un seul demandeur à la fois. Lorsque votre premier demandeur est sélectionné, il devient votre « demandeur principal ». Les demandeurs sélectionnés par la suite seront des demandeurs collaborateurs. Tous les demandeurs sélectionnés auront accès à la soumission."
apply,organizationApplicants,demandeurs provenant d’organismes
apply,organizationApplicantsInstructions,Un demandeur provenant d’un organisme est nécessaire. Vous pouvez ajouter un ou plusieurs demandeurs en cliquant sur le bouton Ajouter des Demandeurs.
apply,requestContacts,Coordonnées de la demande
apply,saveApplicant,Enregistrer le demandeur
apply,saveApplicants,Enregistrer les demandeurs
apply,saveApplicantSuccess,Vos demandeurs ont été invités.
apply,selectApplicantsInstructionsModal,"Pour ajouter des demandeurs à cette soumission, sélectionnez-les depuis la liste de contacts ci-dessous ou ajoutez-en un nouveau en cliquant sur Nouveau Demandeur."
apply,selectCollaboratorsInstructionsModal,"Pour ajouter des collaborateurs à cette soumission, sélectionnez-les depuis la liste de contacts ci-dessous ou ajoutez-en un nouveau en cliquant sur Nouveau Collaborateur."
apply,selectCollaboratorsInstructionsModalEmp,"Pour ajouter des collaborateurs à cette soumission, sélectionnez-les depuis la liste de contacts ci-dessous."
apply,selectCollaboratorsWarning,"Remarque : la demande peut être modifiée par un seul demandeur à la fois, sans quoi vous risquez de perdre des données."
apply,selectCollaboratorsWarning2,"Une fois qu’un demandeur a été invité, vous ne pouvez plus le supprimer. Veuillez vous adresser à votre administrateur de système si vous souhaitez supprimer un demandeur qui a déjà été invité. "
apply,selectContactsInstructions,Cliquez sur le bouton Ajouter des Contacts pour ajouter ou joindre des contacts organisationnels correspondant à cette demande.
apply,selectContactsInstructionsNote,"Remarque : Ces contacts N’AURONT PAS accès à la visualisation/modification de cette demande. Si vous souhaitez partager cette demande, utilisez le bouton Partager avec un Collaborateur."
common,contacts,Contacts
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,about,À propos
common,actions,Actions
common,add,Ajouter
common,address,Adresse
common,allCoworkers,Tous les collègues
common,amFollowing,Je suis abonné à
common,amount,Quantité
common,anonymous,Anonyme
common,apply,Faire une demande
common,assignmentSelector,Veuillez sélectionner une tâche à laquelle assigner de coordinateurs :
common,attended,A participé
common,authDashboard,Tableau de bord
common,back,Retour
common,byInitiative,Par initiative
common,byOrganization,Par organisation
common,byProgram,Par programme
common,cancel,Annuler
common,clear,Effacer
common,clickHere,Cliquez ici
common,close,Fermer
common,companyImpact,Impact de l'entreprise
common,companyInitiatives,Initiatives de l'entreprise
common,congratulationsMessage,Félicitations ! Vous avez reçu un paiement de
common,contact,Contact
common,coworker,Collègue
common,coworkers,Collègues
common,createdAt,Créé à
common,cycleOpen,Cycle ouvert
common,date,Date
common,dateFormat,dd/mm/yyyy HH:ii
common,datePlaceholder,MM/JJ/AA
common,dashboard,Tableau de bord
common,delete,Supprimer
common,details,Détails
common,disabled,Désactivé
common,documentUpload,Mise en ligne de documents
common,dollars,Dollars
common,donateNowButton,Faire un don maintenant
common,edit,Éditer
common,email,Adresse e-mail
common,employeeParticipation,Participation des employés
common,endDate,Date de fin
common,endTime,Heure de fin
common,event,Projet
common,faq,faq
common,faqLong,Foire Aux Questions
common,faqs,FAQ
common,friends,Amis
common,friendsFamily,Amis et famille
common,give,Donner
common,giveLater,Je donnerai plus tard
common,giveNow,Donner maintenant !
common,giving,Donner
common,givingHistory,Historique des dons
common,goals,Objectifs
common,grant,Subvention
common,group,Groupe
common,groupGiving,Dons du groupe
common,groupImpact,Impact du groupe
common,groups,Groupes
common,haveSupported,J'ai aidé
common,help,Aidez-nous !
common,here,ici
common,historyDoesNotExist,L'historique n'existe pas
common,hi,Bonjour
common,home,Accueil
common,hours,Heures
common,impact,Impact
common,initiative,Initiative
common,information,Information
common,instructions,Instructions
common,invite,Invitation
common,inviteOnly,Sur invitation uniquement
common,in,accepté
common,join,Rejoindre
common,learnMore,En savoir plus
common,less,Moins
common,makeadonation,Faites un don !
common,matching,Doublage
common,matchingGifts,Doublage des dons
common,message,Message
common,messages,Messages
common,messaging,Envoi de messages
common,mobilePhone,Téléphone portable
common,more,Plus
common,moreInfo,Plus d'info
common,mygiving,Mes dons
common,myimpact,Mon impact
common,myGroupImpact,L'impact de mon groupe
common,myOrganizations,Mes organisations
common,name,Nom
common,new,Nouveau
common,next,Suivant
common,no,Non
common,nonprofits,Organisations
common,ongoing,Continu
common,optional,(facultatif)
common,organization,Organisation
common,orgsThat,Organisations qui
common,other,Autres
common,overview,Vue d'ensemble
common,participants,Participants
common,participation,Participation
common,paycheck,Salaire
common,payments,Paiement
common,payrollDeduction,Retenue sur salaire
common,payrollDeductions,Retenues sur salaire
common,per,par
common,personalHours,Heures personnelles
common,phone,Numéro de téléphone
common,preview,Aperçu
common,previous,Précédent
common,privacy,Vie privée
common,private,Privé
common,profile,Profil
common,program,Programme
common,programs,Programmes
common,programIsNoLongerActive,Ce programme n'est plus actif
common,projects,Projets
common,projectHours,Heures de projet
common,public,Public
common,questions,Questions
common,recordADonation,Enregistrer un don
common,remainingMatchFunds,Doublages de dons disponibles
common,remainingMatchFundsExplanation,Ceci est le nombre restant de doublages de dons auxquels vous avez droit pendant cette année fiscale.
common,requestAMatch,Faire une demande de doublage des dons
common,roster,Liste
common,save,Enregistrer
common,search,Rechercher
common,select,Sélectionner
common,selected,Sélectionné
common,selectAVolunteerProgram,Sélectionnez un programme de bénévolat
common,selectedNonprofit,Organisation sélectionnée
common,selectOrganization,Sélectionnez une organisation
common,send,Envoyer
common,setagoal,Fixer un objectif
common,settings,Paramètres
common,setupPayrollDeduction,Dons sur salaire
common,signOut,Déconnexion
common,signUp,Inscription
common,skills,Capacités
common,sponsor,Sponsor
common,startDate,Date de départ
common,startTime,Heure de départ
common,state,État
common,status,Statut
common,streetAddress,Adresse postale
common,submission,Heure d'envoi
common,submit,Envoyer
common,subject,Sujet
common,timePlaceholder,HH:MM AM/PM
common,title,Titre
common,text,Texte
common,togoal,pour atteindre l'objectif
common,total,Total
common,totalGiving,Total des dons
common,totalHours,Heures totales
common,totalImpact,Impact total
common,openings,Ouvertures
common,totalParticipation,Participation totale
common,tourTitle,Visite
common,type,Type
common,unlimited,Pas de maximum
common,upload,Mise en ligne
common,users,Utilisateurs
common,viewFullDesctiption,Afficher la description complète.
common,volunteer,Bénévole
common,volunteers,Bénévoles
common,volunteerDate,Date de bénévolat
common,volunteerGrants,Subvention du bénévolat
common,volunteering,Faire du bénévolat
common,volunteerLater,Je ferai du bénévolat plus tard
common,volunteerNow,Faire du bénévolat maintenant !
common,volunteerParticipation,Participation des bénévoles
common,year,Année
common,yes,Oui
common,zipCityState,"Code postal, ville ou région"
common,awards,Récompenses
common,manage,Gérer
common,requests,Demandes
common,reports,Rapports
common,viewAll,Tout afficher
common,city,Ville
common,country,Pays
common,nonprofit,Organisation
common,recipient,Bénéficiaire
common,specialInstructions,Instructions spéciales
common,cancelRequest,Annuler la demande
common,remove,Retirer
common,thisYear,Cette année
common,award,Récompense
common,progressReport,Rapport de progrès
common,progressReports,Rapport de progrès
common,request,Demande
common,submitted,Soumis
common,archive,Archive
common,history,Historique
common,mission,Mission
common,viewPrograms,Afficher les programmes
common,award,Nom
common,firstName,Prénom
common,description,Description
common,lastName,Nom
common,password,Mot de passe
common,shirt,Taille du t-shirt
common,datepickerPlaceholder,MM/JJ/AAAA HH:MM AM/PM
common,signIn,Se connecter
common,dateVolunteered,Date de bénévolat
common,suggestProject,Suggérer un projet
common,abandon,Abandonner
common,aboutProgram,En savoir plus sur ce programme
common,aboutProject,En savoir plus sur ce projet
common,action,Action
common,addNew,Ajouter nouveau
common,administrator,Administrateur
common,administrators,Administrateurs
common,allCoworkers,Trouver des collègues
common,applicant,Demandeur
common,applyTooltip,Postuler pour ce programme
common,areYouSure,Êtes-vous sûr de vouloir
common,awards,Récompenses
common,beingLoggedOut,Déconnexion en cours.
common,boardGrant,Subvention du Conseil
common,boardParticipation,Participation du Conseil
common,boardPosition,Position du Conseil
common,cancelled,Annulé
common,claimCongrats,Félicitations ! Vous avez revendiqué une organisation.
common,closed,Fermé
common,complete,Terminé
common,confirm,Confirmer
common,contacts,Contacts
common,continue,Poursuivre
common,cycle,Cycle
common,dateComplete,Date complète
common,dates,Dates
common,dateFormat,mm/jj/aaaa HH:ii P
common,dateVolunteered,Date de volontariat
common,deadlinePassed,Date limite dépassée
common,deselect,Désélectionner
common,donations,Donations
common,dueDate,Date butoir
common,editDelete,Modifier / Supprimer
common,editOrgInfo,Modifier l'organisation dans DonateWell
common,error,Erreur
common,errorMsg0,Une donation minimale de
common,errorMsg1,$ est requise pour
common,errorMsg2,donations.
common,errorMsg4,$ est requise pour recevoir un bonus dans le
common,errorMsg5,Vous n'avez pas de limite pour les fonds de bonus disponibles pour ce programme.
common,errorMsg6,Il vous reste
common,errorMsg7,$ de fonds de bonus disponibles pour ce programme.
common,errorMsgDate,Veuillez vous assurer que la date de fin de votre projet soit ULTÉRIEURE à la date de début du projet.
common,fileRemoveSuccess,Fichier supprimé avec succès
common,filterBy,Filtrer par
common,for,pour
common,grantStatus,Statut de la subvention
common,historyLoading,Chargement de l'historique...
common,history,Historique
common,hoursType,Type d'heures
common,lastName,Nom
common,lastUpdate,Dernière mise à jour
common,login,Connexion
common,manage,Gérer
common,matchingGiftsTooltip,correspondra à votre donation
common,mission,Mission
common,missingFields,Des champs obligatoires sont manquants dans le formulaire
common,moveOnToPrograms,Étapes suivantes : consultez nos programmes et postulez !
common,myBudget,Mon budget
common,myOrganizations,Mes organisations
common,noAvailablePrograms,Ce programme n'accepte actuellement pas de demandes.
common,nonprofit,Organisation à but non lucratif
common,nonprofits,Organisations à but non lucratif
common,notfound,Cette page est introuvable.
common,notfoundexp,Les informations que vous cherchez sont introuvables ou n'existent plus.
common,noFileUploaded,Aucun fichier téléchargé.
common,open,Ouvrir
common,or,ou
common,organizations,Organisations
common,orgWarnNote,"Remarque : le cas échéant, choisissez un projet pour y inclure les heures."
common,page,Page
common,pleaseWait,Merci de patienter...
common,print,Imprimer
common,progressReport,Rapport de progression
common,progressReports,Rapports de progression
common,project,Projet
common,recipient,Bénéficiaire
common,remove,Retirer
common,removeVolunteer,Retirer un volontaire
common,removeVolunteerPrompt,Êtes-vous sûr de vouloir retirer ce volontaire de cette mission ?
common,require,Demander
common,returnToDashboard,Retour au tableau de bord
common,review,Examination
common,reviews,Examinations
common,role,Rôle
common,selectAll,Tout sélectionner
common,selectAllPages,Sélectionner toutes les pages
common,selectAProgram,Veuillez choisir un programme auquel postuler
common,selectedOrganization,Organisation sélectionnée
common,showing,Montrer
common,start,Commencer
common,submittedDate,Date soumise
common,success,Succès !
common,summary,Sommaire
common,totalHoursPage,Page total des heures
common,unclaimOrg,retirer votre nom de la liste des demandeurs pour cette organisation
common,unclaimOrgHelper,"En retirant votre nom de la liste des demandeurs, vous ne pourrez plus postuler au nom de cette organisation"
common,unsavedInvitations,Invitations non enregistrées
common,unsavedInvitationsPrompt,Vos invitations n'ont pas été envoyées. Êtes-vous sûr de vouloir fermer la fenêtre ?
common,updating,Rafraîchissement des informations...
common,upcoming,À venir
common,view,Voir
common,viewAll,Voir tous
common,viewFullDescription,Voir la description complète
common,viewPrograms,Voir les programmes
common,volunteerGrantHistory,Historique des subventions de volontariat
common,volunteerHours,Heures de volontariat
common,volunteerTooltip,Se porter volontaire pour ce projet
common,viewAllAwards,Voir toutes les récompenses
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,accountSettings,Paramètres du compte
common,addressLine1,Adresse Ligne 1
common,addressLine2,Adresse Ligne 2
common,applicants,Demandeur
common,archive,Archive
common,awarded,Attribué
common,clickHereLower,cliquez ici
common,county,Comté
common,datePlaceholderLong,MM/JJ/AAAA
common,disableSummaryVisibility,Désactiver la visualisation du résumé
common,draft,Brouillon
common,einIfApp,EIN (le cas échéant)
common,emailCoworker,Envoyer un courriel à un collègue
common,employmentDetails,Informations sur l’emploi
common,enableSummaryVisibility,Activer la visualisation du résumé
common,errorMsg0,Un don minimum de
common,errorMsg6,Vous avez
common,errorMsg8,Vous n’êtes pas admissible à ce programme.
common,errorMsg9,Il ne vous reste plus de fonds pour ce programme.
common,givingHistoryTitle,Consulter l’Historique des Dons
common,givingHistoryDescription,Consulter votre Historique des Dons personnel
common,goalMet,Objectif atteint !
common,groupStatsSelect,Sélectionnez votre groupe de statistiques
common,groupVolunteering,Bénévolat de groupe
common,homeAddress,Adresse de résidence
common,grantType,Type de bourse
common,incomplete,Incomplet
common,inReview,En cours d’évaluation
common,loading,Chargement
common,loi,Lettre d’intention
common,loiDeclined,Lettre d’intention refusée
common,loiSubmitted,Lettre d’intention envoyée
common,makeadonation,Faire un don
common,makeadonationDescription,Consulter les programmes de donation disponibles et faire un don
common,notAwarded,Non attribué
common,personalDetails,Informations personnelles
common,pleaseSelect,Veuillez sélectionner...
common,requestedAmount,Somme demandée
common,required,Requis
common,saved,Enregistré
common,saving,Enregistrement en cours
common,size,Dimensions
common,stateProv,État/Province
common,submission,Date de soumission
common,termSD,Date de début
common,termED,Date de fin
common,unlimited,Illimité
common,userPreferences,Préférences d’utilisation
common,virtualProject,Projet virtuel
common,virtualProjects,Projets virtuels
common,workAddress,Adresse de bureau
company,pageTitle,Initiatives de l'entreprise
company,,
dashboard,apply,Faire une demande
dashboard,claim,Revendiquer
dashboard,claimNon,Revendiquez votre organisation !
dashboard,dashboard,Tableau de bord
dashboard,faq,FAQ
dashboard,featuredPrograms,Programmes phares
dashboard,inProgress,In cours
dashboard,manageAll,Tout gérer
dashboard,messages,Messages
dashboard,myNons,Mes organisations
dashboard,newMessageText,Vous avez %1 nouveaux messages
dashboard,noMessages,Vous n'avez actuellement pas de nouveau message.
dashboard,noOrgAlert,Veuillez d'abord commencer par revendiquer votre organisation !
dashboard,payments,Paiements
dashboard,programs,Programmes
dashboard,requestStatus,"Vous n'avez pas encore de demandes. Pour commencer une candidature, "
dashboard,stats,Statistiques
dashboard,viewAvil,Afficher tous les programmes disponibles
dashboard,applyForGrant,Postuler pour une subvention
dashboard,claimedOrg,organisation revendiquée
dashboard,claimedOrgs,organisations revendiquées
dashboard,claimAnOrg,Revendiquer une organisation
dashboard,claimNon,Revendiquez votre organisation à but non lucratif
dashboard,filter1Year,1 an
dashboard,filter30Days,30 jours
dashboard,filter6Months,6 mois
dashboard,filter90Days,90 jours
dashboard,getStarted,Commencer
dashboard,lastUpdatedDate,Dernière mise à jour
dashboard,inProgressTitle,Tâches récentes
dashboard,iWantTo,Je veux...
dashboard,noRequests,Vous n'avez aucune demande à examiner dans
dashboard,noRequestFilter,Vous n'avez aucune tâche dans
dashboard,recognize,Reconnaître
dashboard,remaining,Restant
dashboard,reviewPrograms,Consulter les programmes disponibles
dashboard,reviewOurPrograms,Consulter nos programmes
dashboard,spent,Dépensé
dashboard,startClaim,Commencez par revendiquer une organisation !
dashboard,step1,Étape 1 : revendiquez votre organisation
dashboard,step1Complete,Étape 1 : TERMINÉE
dashboard,step2,Étape 2 : consulter nos programmes
dashboard,step3,Étape 3 : postuler
dashboard,toApply,"Pour postuler, cliquer sur le bouton Postuler à côté du programme ouvert."
dashboard,totalAwarded,Total accordé
dashboard,totalRequested,Total des demandes
dashboard,voteAndNominate,Voter et nominer
dashboard,youHave,Vous avez
donate,billingAddress,Adresse de facturation
donate,cardNumber,Numéro de carte bleue
donate,cardExpirationDate,mm/aaaa
donate,clickUploadReceipt,Cliquez ici pour envoyer votre reçu
donate,cvCode,Code CV
donate,dedication,Dédiez ce don à un ami ou un proche
donate,donationDate,Entrez la date à laquelle vous avez fait ce don.
donate,donationType,Type de don
donate,donateNowTooltip,Faites un don en ligne en utilisant votre carte bleue et demandez à ce qu'il soit doublé si vous y avez droit.
donate,enterHonoreeName,Leur nom
donate,expirationDate,Date d'expiration
donate,inHonorOf,En l'honneur de
donate,inMemoryOf,En souvenir de
donate,givingProgram,Programme de dons
donate,makeAnonymously,Faire ce don de façon anonyme
donate,nameAsItAppears,Nom tel qu'il apparaît sur la carte
donate,pageTitleOnline,Faites un don maintenant
donate,pageTitleOffline,Enregistrer un don
donate,pageTitlePayroll,Retenue sur salaire
donate,paymentDetails,Détails du paiement
donate,postalCode,Code postal
donate,recordDonationTooltip,Enregistrez un don effectué autre part et demandez à ce qu'il soit doublé si vous y avez droit.
donate,requestMatch,Demandez que votre don soit doublé
donate,s,
donate,selectedNonprofit,Organisation sélectionnée
donate,selectANonprofit,Sélectionnez une organisation
donate,selectedOrganization,Les organisations sélectionnées remplissent les conditions pour les programmes de donation suivants
donate,selectGivingProgram,Veuillez choisir un programme de donation
donate,setupDeductionTooltip,Configurer une nouvelle retenue sur salaire.
donate,state,État
donate,specificPurpose,Demander à l'organisation d'utiliser ce don dans un but spécifique
donate,streetAddress,Adresse postale
donate,toDonateSearch,"Pour faire un don, veuillez choisir un bénéficiaire - Recherchez par nom, location, ou EIN"
donate,uploadReceipt,Mettez en ligne une copie du reçu que vous avez obtenu quand vous avez fait ce don.
donate,validCardNumber,Numéro de carte bleue valide
donate,amountDonated,Saisissez le montant de votre donation
donate,donate,Donner
donate,dollarType,$
donate,donateNowTooltip,Faire une donation en ligne avec votre carte de crédit.
donate,enterAmountDeducted,Saisissez le montant que vous voulez voir déduit sur base annuelle
donate,enterAmountPaycheck,Saisissez le montant que vous voulez voir déduit de chaque salaire
donate,enterHonoreeName,Saisissez le nom du récipiendaire
donate,errorProcessingTransaction,Il y a eu une erreur dans le traitement de votre transaction
donate,estimatedLabel,Estimation du montant de votre subvention bonus :
donate,inputDonationAmount,Saisissez le montant que vous voulez donner
donate,isRequired,est requis pour les donations prélevées à la source
donate,matchingGrant,Le montant de votre subvention bonus ne peut dépasser
donate,matchingRequested,Votre cadeau bonus a été réclamé
donate,minimumOf,Un minimum de
donate,noFuturePayment,La date ne peut pas être dans le futur !
donate,noProgramsAvailable,Il n'y a aucun programme de donation disponible pour l'organisation sélectionnée
donate,orgAdded,a été ajouté à la liste des organisations que vous soutenez
donate,payrollDeductionCreated,Votre déduction sur salaire a été créée
donate,processingPayment,Votre paiement est en cours
donate,recordDonation,Enregistrer la donation
donate,recordDonationTooltip,Enregistrer une transaction faite ailleurs.
donate,savePayrollDeduction,Enregistrer la déduction à la source
donate,selectedNonprofit,Organisation sélectionnée
donate,selectANonprofit,Choisir une organisation
donate,thankYouForDonation,Merci de votre donation
donate,thankYouOffline,Merci d'avoir enregistré votre donation hors l
donate,viewEligibleOrganizations,Consulter la liste des organisations éligibles
donate,addOrgEmail,"se trouve dans notre base de données, mais n’a pas fourni de coordonnées à jour.  L’organisme de bienfaisance doit vérifier votre donation avant que votre don jumelé puisse être traité. Veuillez fournir une adresse courriel pour contacter l’organisme.  "
donate,dateAfterStartDate,La date correspondre au début ou après le début du programme :
donate,errorProcessingCC,Une erreur est survenue pendant le traitement de votre carte de crédit.
donate,estimatedLabel,Somme estimée de votre don jumelé :
donate,matchingGrant,La somme de votre don jumelé ne peut excéder
donate,pageTitleOffline,Enregistrer une donation
donate,pageTitleOnline,Faire un don maintenant
donate,pageTitlePayroll,Déduction salariale
donate,receiptSizeMsg,Le reçu téléchargé ne peut dépasser 80 mégaoctets
donate,selectANonprofit,Sélectionnez un organisme
donate,toDonateSearch,"Pour effectuer un don, veuillez choisir un destinataire – Chercher par nom, par emplacement ou par numéro d’enregistrement."
emails,acceptedToGroup,Vous avez été accepté dans ce groupe.
emails,cancellationSpace1,Il y a maintenant une place libre dans l'un de vos projets car un des participants a annulé. Nous vous rappelons que vous avez des membres sur la liste d'attente de votre projet. Veuillez revisiter
emails,cancellationSpace2,pour ajouter des collègues de votre liste d'attente. Ils recevront une notification par e-mail les informant qu'ils ont été ajoutés au projet en tant que bénévoles.
emails,congratulations,Félicitations
emails,dear,Chère/Cher
emails,forgot_pwd_body,Nous avons reçu une demande de réinitialisation de votre mot de passe. Le nouveau mot de passe temporaire que vous devez utiliser pour vous connecter est :
emails,forgot_pwd_link_text,Se connecter
emails,forgot_pwd_subject,Demande de réinitialisation de mot de passe
emails,invitedBy,Vous avez été invité par
emails,leader,Dirigeant
emails,loginToRegister,Connectez-vous au portail des employés pour vous inscrire à cette nouvelle opportunité excitante
emails,projectDate,Date du projet
emails,signUpHere,Inscrivez-vous ici
emails,thankYou,Merci
emails,thanksAgain,Merci encore
emails,thankCoordinator,Merci d'organiser ce projet de bénévolat
emails,verify_email_body,"Merci de vous être inscrit, veuillez cliquer sur le lien ci-dessous pour confirmer votre adresse e-mail."
emails,verify_email_subject,Bienvenue sur Good Done Great
emails,volunteerFor,pour faire du bénévolat pour
emails,volunteerProject,Projet de bénévolat
emails,addedToCommittee,Vous avez été ajouté à un comité d'examination
emails,addedToCommittee1,Vous avez récemment été ajouté comme membre du
emails,addedToCommittee2,"pour aider à l'examen des demandes de financement. Merci de remplir cette fonction. Pour consulter les demandes attribuées à ce comité, veuillez vous connecter sur le portail des employés et ouvrir l'onglet Subventions, puis Examens."
emails,amountRequested,Montant demandé :
emails,applicant,Demandeur :
emails,accessCode,Code d'accès :
emails,applicationProcessing,"Nous sommes en train d'examiner la demande, vous recevrez une notification lorsqu'une décision aura été prise. Vous pouvez également consulter à tout moment le statut de votre demande sur le portail des employés. Merci pour le temps précieux que vous employez à servir votre communauté !"
emails,approvedLOI1,Félicitations ! Votre demande de lettre d'intention a été approuvée pour le programme
emails,approvedLOI2,. Veuillez consulter notre demandeur
emails,approvedLOI3,avant la date limite de soumission de demande
emails,approvedLOI4,pour remplir et soumettre votre demande complète.
emails,approvedLOI5,"Si vous avez des questions à tout moment durant le processus, n'hésitez pas à nous contacter à l'adresse ci-dessous."
emails,awardedOn,accordé le
emails,awardRequest1,"Nous avons le plaisir de vous informer que la demande suivante,"
emails,awardRequest2,", a été acceptée pour une subvention"
emails,awardRequest3,d'un montant de
emails,awardRequest4,. Veuillez vous rendre sur notre portail pour accepter votre récompense et télécharger l'accord de subvention. Nous vous indiquerons ensuite la marche à suivre.
emails,confirmNewOrgRequest1,Merci d'avoir proposé que
emails,confirmNewOrgRequest2,soient ajoutés à notre base de données DonateWell. Ils seront contactés à
