area,key,en-US
common,search,Search
common,select,Select
common,selectAll,Select All
common,selectAllPages,Select All Pages
common,selectAProgram,Please Select a Program to Apply For
common,selectAVolunteerProgram,Select A Volunteer Program
common,selected,Selected
common,selectedOrganization,Selected Organization
common,selectOrganization,Select an Organization
common,selectProgram,Select Program
common,send,Send
common,sending,Sending
common,setagoal,Set a goal
common,settings,Settings
common,setupPayrollDeduction,Payroll Donations
common,shirt,Shirt Size
common,showing,Showing
common,signIn,Sign In
common,signOut,Sign Out
common,signUp,Sign Up
common,size,Size
common,skills,Skills
common,sorryErr,"Sorry, something went wrong."
common,specialInstructions,Special Instructions
common,sponsor,Sponsor
common,start,Start
common,startDate,Start Date
common,startTime,Start Time
common,state,State
common,stateProv,"State/Province"
common,status,Status
common,streetAddress,Street Address
common,subject,Subject
common,submission,Date Submitted
common,submit,Submit
common,submitChanges,Submit Changes
common,submitted,Submitted
common,submittedDate,Submitted Date
common,success,Success!
common,suggestProject,Suggest Project
common,summary,Summary
common,team,Team
common,termED,Term End Date
common,termSD,Term Start Date
common,text,Text
common,thisProgram,This program does not allow editing or canceling deductions after open enrollment ends
common,thisYear,This Year
common,timePlaceholder,HH:MM AM/PM
common,title,Title
common,togoal,to goal
common,total,Total
common,totalGiving,Total Giving
common,totalHours,Total Hours
common,totalHoursPage,Page Total Hours
common,totalImpact,Total Impact
common,totalParticipation,Total participation
common,tourTitle,Tour
common,type,Type
common,types,Types
common,unclaimOrg,remove yourself as an applicant for this organization
common,unclaimOrgHelper,Removing yourself as an applicant will prevent you from applying on behalf of this organization
common,unclaimSponsor,remove yourself as an applicant for this fiscal sponsor
common,unclaimSponsorHelper,Removing yourself as an applicant will prevent you from applying on behalf of this fiscal sponsor.
common,unlimited,No max
common,unlimited,Unlimited
common,unsavedInvitations,Unsaved Invitations
common,unsavedInvitationsPrompt,Your invitations have not been sent. Are you sure you want to close the window?
common,upcoming,Upcoming
common,updating,Refreshing information...
common,upload,Upload
common,userPreferences,"User Preferences"
common,users,Users
common,view,View
common,viewAll,View All
common,viewAllAwards,View All Awards
common,viewFullDescription,View Full Description
common,viewProgram,View Program
common,viewPrograms,View Programs
common,virtualProject,"Virtual Project"
common,virtualProjects,"Virtual Projects"
common,volunteer,Volunteer
common,volunteerGrantHistory,Volunteer Grant History
common,volunteerGrants,Volunteer Grants
common,volunteerHours,Volunteer Hours
common,volunteering,Volunteering
common,volunteerLater,I'll Volunteer Later
common,volunteerNow,Volunteer Now!
common,volunteerParticipation,Volunteer Participation
common,volunteers,Volunteers
common,volunteerTooltip,Volunteer for this Project
common,workAddress,"Work Address"
common,year,Year
common,yes,Yes
common,youHaveBeenAdded,"You have been added"
common,youHaveBeenRemoved,"You have been removed"
common,yourDecision,Your Decision
common,yourEnrolled1,You are currently enrolled in
common,yourEnrolled2,active payroll deductions for this program
common,zipCityState,"Zip Code, City, or State"
dashboard,applyForGrant,Apply for a Grant
dashboard,claim,Claim
dashboard,claimAnOrg,Claim an Organization
dashboard,claimedOrg,claimed organization
dashboard,claimedOrgs,claimed organizations
dashboard,claimNon,Claim Your Nonprofit!
dashboard,featuredPrograms,Featured Programs
dashboard,filter1Year,1 Year
dashboard,filter30Days,30 Days
dashboard,filter6Months,6 Months
dashboard,filter90Days,90 Days
dashboard,getStarted,Get Started
dashboard,inProgress,In Progress
dashboard,inProgressTitle,Recent Work Items
dashboard,iWantTo,I want to...
dashboard,lastUpdatedDate,Last Updated
dashboard,manageAll,Manage All
dashboard,newMessageText,You have %1 new messages
dashboard,noMessages,You currently do not have any messages.
dashboard,noOrgAlert,Please start by first claiming your organization!
dashboard,noRequestFilter,You do not have any work items within
dashboard,noRequests,You do not have any requests assigned for review within
dashboard,recognize,Recognize
dashboard,remaining,Remaining
dashboard,requestStatus,"You do not have any requests yet. To start an application, "
dashboard,reviewOurPrograms,Review our Programs
dashboard,reviewPrograms,Review the Programs available for application.
dashboard,spent,Spent
dashboard,startClaim,Please start by first claiming an organization!
dashboard,stats,Stats
dashboard,step1,Step 1: Claim Your Organization
dashboard,step1Complete,Step 1: COMPLETE
dashboard,step2,Step 2: Review Our Programs
dashboard,step3,Step 3: Apply
dashboard,toApply,"To Apply, click the Apply button next to the Open Program."
dashboard,totalAwarded,Total Awarded
dashboard,totalRequested,Total Requested
dashboard,viewAvil,view available Programs
dashboard,voteAndNominate,Vote & Nominate
dashboard,youHave,You have
donate,addOrgEmail,"is in our database, but has not provided up-to-date contact information. The charity must verify your donation before your matching gift can be processed. Please provide an email address to contact the organization."
donate,amountDonated,"Enter the amount you donated"
donate,billingAddress,Billing Address
donate,cardExpirationDate,mm/yyyy
donate,cardNumber,Card Number
donate,clickUploadReceipt,Click here to upload your receipt
donate,cvCode,CV Code
donate,dateAfterStartDate,"Date must be on or after Program Start Date:"
donate,dedication,Dedicate this gift to a friend or loved one
donate,dollarType,$
donate,donate,Donate
donate,donateNowTooltip,Make an online donation using your credit card.
donate,donationDate,Enter the date you gave the donation
donate,donationType,Donation Type
donate,enterAmountDeducted,"Enter the amount you want to have deducted annually"
donate,enterAmountOnetime,"Enter the amount you want to have deducted one-time"
donate,enterAmountPaycheck,"Enter the amount you want to have deducted from each paycheck"
donate,enterHonoreeName,Enter the honoree's name
donate,errorProcessingCC,There was an error processing your credit card.
donate,errorProcessingTransaction,There was an error processing your transaction
donate,estimatedLabel,Your estimated Matching Gift amount:
donate,expirationDate,Expiration Date
donate,givingProgram,Giving Program
donate,inHonorOf,In honor of
donate,inMemoryOf,In memory of
donate,inputDonationAmount,"Enter the amount you would like to donate"
donate,isRequired,is required for payroll donations
donate,makeAnonymously,Make this donation anonymously
donate,matchingGrant,Your Matching Gift amount cannot exceed
donate,matchingRequested,Your matching gift has been requested
donate,minimumOf,A minimum of
donate,nameAsItAppears,Name as it appears on the card
donate,noFuturePayment,Date cannot be in the future!
donate,noProgramsAvailable,"There are no giving programs available for the selected organization"
donate,oneTimePayroll,"Make this a one time payroll deduction?"
donate,orgAdded,has been added to your list of supported organizations
donate,pageTitleOffline,"Record a Donation"
donate,pageTitleOnline,"Donate Now"
donate,pageTitlePayroll,"Payroll Deduction"
donate,paymentDetails,Payment Details
donate,payrollDeductionCreated,Your payroll deduction has been created
donate,postalCode,Postal Code
donate,processingPayment,"Your payment is being processed"
donate,receiptSizeMsg,"Receipt upload can not be more than 1.5MB"
donate,recordDonation,"Record Donation"
donate,recordDonationTooltip,Record a donation that you made elsewhere.
donate,requestMatch,Request a match
donate,savePayrollDeduction,"Save Payroll Deduction"
donate,selectANonprofit,Select an Organization
donate,selectedNonprofit,Selected Organization
donate,selectedOrganization,The selected organization qualifies for the following giving program
donate,selectGivingProgram,Please select a giving program
donate,setupDeductionTooltip,Setup a new payroll deduction.
donate,thankYouForDonation,Thank you for your donation
donate,thankYouOffline,Thank you for recording your offline donation
donate,toDonateSearch,"To donate, please choose a recipient - Search by name, location or Registration ID"
donate,uploadReceipt,Upload a copy of the receipt you received for this donation
donate,validCardNumber,Valid Card Number
donate,viewEligibleOrganizations,View Eligible Organizations
emails,acceptedToGroup,You have been accepted to the group
emails,accessCode,Access Code:
emails,accountCreated,"An account has been created for you to review grant applications."
emails,accountCreated2,"Click the link below to log in."
emails,addedBy,You have been added by
emails,addedToCommittee,You've been added to a Review Committee
emails,addedToCommittee1,You were recently added as a member of the
emails,addedToCommittee2,"to help in the review of requests submitted for funding. Thank you for serving in this capacity. To view requests assigned to this committee for review, please login to the employee portal and navigate to the Grant then Review tab."
emails,amountRequested,Amount Requested:
emails,applicant,Applicant(s):
emails,applicationProcessing,We are in the process of reviewing the application and you will receive notification when a decision has been made. You may also check the status of your application in the employee portal at any time. Thank you for your valuable time serving our community!
emails,approvedLOI1,Congratulations! Your letter of intent request has been approved for the
emails,approvedLOI2,program. Please visit our applicant
emails,approvedLOI3,before the request submission deadline of
emails,approvedLOI4,to complete and submit your full request.
emails,approvedLOI5,"If at any time during this application process, you have questions, please feel free to contact us at the address shown below."
emails,assignment,"Assignment"
emails,awardedOn,awarded on
emails,awardRequest1,"We are pleased to inform you that the following request, "
emails,awardRequest2,", has been approved for the "
emails,awardRequest3,grant for the amount of
emails,awardRequest4,. Please proceed to our portal to accept your award and download the grant agreement. We will provide further steps after that.
emails,cancellationSpace1,"Space has now become available in your project due to a cancellation by one of your participants. As a reminder, you have team members on a waitlist for your project. Please revisit the"
emails,cancellationSpace2,to add co-workers from your waitlist. They will receive an email notification informing he/she has been added as a volunteer to the project.
emails,clickToLearn,Click to Learn More
emails,confirmNewOrgRequest1,"Thank you for you suggesting"
emails,confirmNewOrgRequest2,"be added to our database at DonateWell. They will be contacted at"
emails,confirmNewOrgRequest3,"with the next steps"
emails,confirmNewOrgRequestSubject,"Organization Request Confirmed"
emails,congratulations,Congratulations
emails,dear,Dear
emails,declinedLOI1,Thank you for submitting your letter of intent for the
emails,declinedLOI2,grant. We regret to inform you that you have not been approved to submit a full application for the following request:
emails,declinedLOI3,We encourage you to read our grant program guidelines and
emails,declinedLOI4,apply again
emails,declinedLOI5,"in the future. If you have any questions, please feel free to contact us at the address shown below."
emails,declinedReason,"Declined reason:<br>"
emails,declinedRequest1,"We regret to inform you that we are unable to fund your request, "
emails,declinedRequest2,for the
emails,declinedRequest3,grant at this time. Please feel free to contact us with any questions. We appreciate your support of your local community.
emails,donationTY1,"Thank you for your"
emails,donationTY10,"Advised Donation Organization:"
emails,donationTY11,"Organization Address:"
emails,donationTY12,"Advised Donation Amount:"
emails,donationTY13,"Your donation of"
emails,donationTY14,"has been processed by DonateWell and was advised for the benefit of"
emails,donationTY15,"DonateWell will grant these funds as a donation to"
emails,donationTY16,"Please refer to our Term of Service for more information."
emails,donationTY17,"Please note that the IRS requires that you retain this letter as a receipt to substantiate your charitable gift."
emails,donationTY18,"In accordance with IRS requirements for charitable contributions, DonateWell acknowledges no goods or services, or quid pro quo benefits (tangible or intangible) were provided to you by DonateWell in consideration of your charitable gift."
emails,donationTY19,"You are receiving this transactional email as a receipt of your donation through"
emails,donationTY2,"advised donation to"
emails,donationTY20,"and Good Done Great."
emails,donationTY21,"If you have questions or need assistance, visit our Support Center."
emails,donationTY22,"Please note: This email message was sent from a notification-only address that cannot accept incoming email. Please do not reply to this message."
emails,donationTY23,"Please note: that the IRS requires that you retain this letter as a receipt to substantiate your charitable gift."
emails,donationTY24,"Donate Well"
emails,donationTY25,"Date of Donation:"
emails,donationTY26,"Registration ID:46-0942102"
emails,donationTY27,"1127 Broadway Suite 102"
emails,donationTY28,"Tacoma, WA 98402"
emails,donationTY3,"Your contribution makes the"
emails,donationTY4,"giving community strong"
emails,donationTY5,"Donation Receipt"
emails,donationTY6,"Donor Name:"
emails,donationTY7,"Charitable Gift Amount:"
emails,donationTY8,"Donor Advised Fund Sponsor:"
emails,donationTY9,"DonateWell"
emails,donationTYSubject,"Thank You For Your Online Donation"
emails,employeeApplicant,Employee Applicant(s):
emails,forgot_pwd_body,We received a request to reset your password. The new temporary you will use to login is:
emails,forgot_pwd_link_text,Sign In
emails,forgot_pwd_subject,Good Done Great Password Reset Request
emails,forThe,for the
emails,grant,grant
emails,grantAccepted,"Grant Accepted"
emails,grantProgram,Grant Program:
emails,grantSubmittedSubtext1,"Board Grant Submitted"
emails,grantSubmittedSubtext2,"Volunteer Grant Submitted"
emails,hello,Hello
emails,incomplete,incomplete
emails,incompleteRequest1,"Your request, "
emails,incompleteRequest2,was not complete and submitted by the close of the
emails,incompleteRequest3,. Please consider applying during our next cycle for this program. Please feel free to contact us at any time with questions.
emails,inTHeAmountOf,in the amount of $
emails,invitationToCollaborate1,You have been invited by {sender} to collaborate on a grant request for {npoName} for the {programName} grant program.
emails,invitationToCollaborate2,"Please note that the application can only be edited by one person at a time. If more than one person attempts to edit the application at the same time, you are at risk of losing data."
emails,invitationToCollaborate3,You can view and edit the application at the following url:
emails,invitationToCollaborateSubject,Invitation to Collaborate on a Grant Request
emails,invitationToParticipate1,You have been invited to participate in
emails,invitationToParticipateSubject,Invitation to Participate in
emails,inviteApplicant,Invitation to Apply:
emails,inviteApplicant1,would like to invite you to apply for the
emails,inviteApplicant2,"program. Click the link below to login to our portal and view the program. Once logged in, begin the application process by clicking 'Apply'."
emails,inviteApplicant3,"You will be prompted to enter the access code shown below to continue the process."
emails,inviteApplicant4,"would like to invite you to apply for a grant. Please log in to the portal using the link below and browse our available programs."
emails,inviteApplicantCustom,''
emails,invitedBy,You have been invited by
emails,justLogin,"login"
emails,leader,Leader(s)
emails,letterOfIntent1,Thank you for submitting a Letter of Intent to the
emails,letterOfIntent2,for the
emails,letterOfIntentRecieved,Letter of Intent Received
emails,location,Location
emails,login,"Login:"
emails,loginOnly,"Login"
emails,loginToLearnMore,Log in to the employee portal to learn more about this exciting opportunity
emails,loginToRegister,Log in to the employee portal to register for this exciting opportunity
emails,loiApprovedSubject,"Letter of Intent Approved"
emails,loiDeclinedSubject,Letter of Intent Declined
emails,loiDue1,This email is to notify you that the LOI submission deadline for
emails,loiDue2,is approaching. Please be sure to
emails,loiDue3,and complete your LOI by
emails,loiDue4,"If you do not finish your LOI in time, your LOI will be marked as incomplete and you will not be considered for a grant."
emails,loiDueSubject,LOI Deadline Approaching
emails,loiSubmittedSubject,Letter of Intent Received
emails,matchApproved1,"Your match request for $"
emails,matchApproved2,"for the organization"
emails,matchApproved3,"has been approved and the payment is scheduled"
emails,matchApprovedSubject,"Match Request Approved"
emails,matchFulfilled1,"Your match payment in the amount of"
emails,matchFulfilled2,"has been fulfilled for"
emails,matchFulfilledCustom,"has been processed and fulfilled by DonateWell."
emails,matchFulfilledSubject,"Match Payment Fulfilled"
emails,matchRejctedSubject,"Match Request Declined"
emails,matchRejected1,"Your match request of $"
emails,matchRejected2,"for"
emails,matchRejected3,"has been declined"
emails,maxParticipants1,"Way to go! Your volunteer project,"
emails,maxParticipants2,", starting on "
emails,maxParticipants3,has an assignment that has reached the maximum number of volunteers. Please be sure to communicate with your volunteers about project details.
emails,name,Name:
emails,notifyCoordinator,Project Coordinator for
emails,notifyCoordinator1,Thank you for coordinating the volunteer project:
emails,notifyCoordinator2,.  Please log back into the employee portal to access project coordinator tools for this project.
emails,notifyCoordinator3,Link to employee portal:
emails,notifyReviewer,Review Assigned
emails,notifyReviewer1,You have been assigned to review the following application for the
emails,notifyReviewer2,grant:
emails,notifyReviewer3,Please login to the portal using the link below to see all of the applications assigned to you for review.
emails,notifyReviewer4,"Please review this application by"
emails,on,on
emails,onHoldRequest1,"Your request, "
emails,onHoldRequest2,", has been put on hold in the decision process for the "
emails,onHoldRequest3,"grant. We will contact you with further information soon."
emails,organization,Organization:
emails,password,"Password:"
emails,portal,portal
emails,progressDue1,You have a progress report due for
emails,progressDue2,Please plan on completing and submitting your progress report before
