area,key,pt-BR
apply,oneAtATime,Lembre-se que só é possível selecionar um pedido por vez. Seu primeiro pedido selecionado se tornará o “pedido principal”. Pedidos selecionados após o primeiro se tornarão pedidos colaboradores. Todos os pedidos selecionados terão acesso ao pedido.
apply,organizationApplicants,Pedido de Organização
apply,organizationApplicantsInstructions,É obrigatório um pedido de organização. Você pode adicionar um ou mais pedidos clicando no botão Adicionar Pedidos.
apply,requestContacts,Pedido de Contatos
apply,saveApplicant,Salvar pedido
apply,saveApplicants,Salvar pedidos
apply,saveApplicantSuccess,Seus pedidos foram convidados.
apply,selectApplicantsInstructionsModal,"Para adicionar candidatos a este pedido, selecione-os na lista de contatos abaixo ou adicione um novo pedido clicando em Novo Pedido."
apply,selectCollaboratorsInstructionsModal,"Para adicionar colaboradores a este pedido, selecione-os na lista de contatos abaixo ou adicione um novo colaborador clicando em Novo Colaborador."
apply,selectCollaboratorsInstructionsModalEmp,"Para adicionar colaboradores a este pedido, selecione-os na lista de contatos abaixo."
apply,selectCollaboratorsWarning,"Nota: Apenas um candidato pode editar a solicitação de cada vez, ou você corre o risco de perder dados."
apply,selectCollaboratorsWarning2,Não é possível remover o pedido depois de convidá-lo. Fale com o seu administrador de sistema se você quiser remover um candidato já convidado.
apply,selectContactsInstructions,Clique no botão Adicionar Contatos para adicionar ou anexar contatos organizacionais relevantes para este pedido.
apply,selectContactsInstructionsNote,"Nota: Esses contatos NÃO TERÃO acesso para visualizar/editar esta solicitação. Se você deseja compartilhar a solicitação, use o botão de Compartilhar com um Colaborador."
common,contacts,Contatos
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,about,Sobre
common,actions,Ações
common,add,Adicionar
common,address,Endereço
common,allCoworkers,Todos os Colegas de Trabalho
common,amFollowing,Estou seguindo
common,amount,Quantia
common,anonymous,Anônimo
common,apply,Aplicar
common,assignmentSelector,"""Por favor, selecione uma atribuição à qual vincular coordenadores: """
common,attended,Participou
common,authDashboard,Painel
common,back,Voltar
common,byInitiative,Por Iniciativa
common,byOrganization,Por Organização
common,byProgram,Por Programa
common,cancel,Cancelar
common,clear,Limpar
common,clickHere,Clique Aqui
common,close,Fechar
common,companyImpact,Impacto da Empresa
common,companyInitiatives,Iniciativas da Empresa
common,congratulationsMessage,Parabéns! Você recebeu um Pagamento de
common,contact,Contato
common,coworker,Colega de Trabalho
common,coworkers,Colegas de Trabalho
common,createdAt,Criado Em
common,cycleOpen,Ciclo Aberto
common,date,Data
common,datePlaceholder,MM/DD/AA
common,dashboard,Painel
common,delete,Excluir
common,details,Detalhes
common,disabled,Desativado
common,documentUpload,Envio de Arquivos
common,dollars,Dólares
common,donateNowButton,Doar Agora
common,edit,Editar
common,email,E-mail
common,employeeParticipation,Participação do Funcionário
common,endDate,Data Final
common,endTime,Hora Final
common,event,Projeto
common,faq,faq
common,faqLong,Perguntas Frequentes
common,faqs,FAQs
common,friends,Amigos
common,friendsFamily,Amigos e Familiares
common,give,Doar
common,giveLater,Eu doarei mais tarde
common,giveNow,Doar Agora!
common,giving,Doando
common,givingHistory,Histórico de Doações
common,goals,Metas
common,grant,Subsídio
common,group,Grupo
common,groupGiving,Doações em Grupo
common,groupImpact,Impacto do Grupo
common,groups,Grupos
common,haveSupported,Eu apoiei
common,help,Ajuda!
common,here,aqui
common,historyDoesNotExist,O Histórico Não Existe
common,hi,Olá
common,home,Início
common,hours,Horas
common,impact,Impacto
common,initiative,Iniciativa
common,information,Informações
common,instructions,Instruções
common,invite,Convidar
common,inviteOnly,Somente por Convite
common,in,em
common,join,Ingressar
common,learnMore,Saiba Mais
common,less,Menos
common,makeadonation,Faça uma Doação!
common,matching,Equivalência
common,matchingGifts,Prêmios de Equivalência
common,message,Mensagem
common,messages,Mensagens
common,messaging,Envio de Mensagens
common,mobilePhone,Telefone Móvel
common,more,Mais
common,moreInfo,Mais Info.
common,mygiving,Minhas Doações
common,myimpact,Meu Impacto
common,myGroupImpact,Impacto do Meu Grupo
common,myOrganizations,Minhas organizações
common,name,Nome
common,new,Novo
common,next,Próximo
common,no,Não
common,nonprofits,Organizações
common,ongoing,Contínuo(a)
common,optional,(opcional)
common,organization,Organização
common,orgsThat,Organizações que...
common,other,Outras
common,overview,Panorama
common,participants,Participantes
common,participation,Participação
common,paycheck,contracheque
common,payments,Pagamentos
common,payrollDeduction,Dedução em Folha
common,payrollDeductions,Deduções em Folha
common,per,por
common,personalHours,Horas Pessoais
common,phone,Número de Telefone
common,preview,Visualizar
common,previous,Anterior
common,privacy,Privacidade
common,private,Privado
common,profile,Perfil
common,program,Programa
common,programs,Programas
common,programIsNoLongerActive,Este programa já não está ativo
common,projects,Projetos
common,projectHours,Horas do Projeto
common,public,Público
common,questions,Perguntas
common,recordADonation,Registrar uma Doação
common,remainingMatchFunds,Doações Equivalentes Disponíveis
common,remainingMatchFundsExplanation,Esta é a quantia restante de doações equivalentes para a qual você é elegível durante este ano fiscal.
common,requestAMatch,Solicitar Equivalência
common,roster,Rol
common,save,Salvar
common,search,Procurar
common,select,Selecionar
common,selected,Selecionado(s)
common,selectAVolunteerProgram,Selecione Um Programa Voluntário
common,selectedNonprofit,Organização selecionada
common,selectOrganization,Selecione uma organização
common,send,Enviar
common,setagoal,Defina uma meta
common,settings,Configurações
common,setupPayrollDeduction,Doações em Folha
common,signOut,Sair
common,signUp,Registrar-se
common,skills,Competências
common,sponsor,Patrocinador
common,startDate,Data Inicial
common,startTime,Hora Inicial
common,state,Estado
common,status,Status
common,streetAddress,Endereço
common,submission,Hora de envio
common,submit,Enviar
common,subject,Assunto
common,timePlaceholder,HH:MM AM/PM
common,title,Título
common,text,Texto
common,togoal,à meta
common,total,Total
common,totalGiving,Doações Totais
common,totalHours,Horas Totais
common,totalImpact,Impacto Total
common,openings,Aberturas
common,totalParticipation,Participação total
common,tourTitle,Tour
common,type,Tipo
common,unlimited,Sem máx.
common,upload,Enviar
common,users,Usuários
common,viewFullDesctiption,Ver Descrição Completa
common,volunteer,Voluntário
common,volunteers,Voluntários
common,volunteerDate,Data como Voluntário
common,volunteerGrants,Concessões aos Voluntários
common,volunteering,Voluntariado
common,volunteerLater,Vou me Voluntariar Depois
common,volunteerNow,Voluntarie-se Agora!
common,volunteerParticipation,Participação como Voluntário
common,year,Ano
common,yes,Sim
common,zipCityState,"""CEP, Cidade ou Estado"""
common,awards,Prêmios
common,manage,Gerenciar
common,requests,Solicitações
common,reports,Relatórios
common,viewAll,Ver Tudo
common,city,Cidade
common,country,País
common,nonprofit,Organização
common,recipient,Destinatário
common,specialInstructions,Instruções Especiais
common,cancelRequest,Cancelar Solicitação
common,remove,Remover
common,thisYear,Este Ano
common,award,Prêmio
common,progressReport,Relatório de Progresso
common,progressReports,Relatórios de Progresso
common,request,Solicitação
common,submitted,Enviado
common,archive,Arquivar
common,history,Histórico
common,mission,Missão
common,viewPrograms,Ver Programas
common,award,Nome
common,firstName,Primeiro Nome
common,description,Descrição
common,lastName,Sobrenome
common,password,Senha
common,shirt,Tamanho da Camisa
common,datepickerPlaceholder,MM/DD/AAAA HH:MM AM/PM
common,signIn,Entrar
common,dateVolunteered,Data como Voluntário
common,suggestProject,Sugerir Projeto
common,abandon,Abandonar
common,aboutProgram,Saiba mais sobre este Programa
common,aboutProject,Saiba mais sobre este Projeto
common,action,Ação
common,addNew,Adicionar Novo(a)
common,administrator,Administrador
common,administrators,Administradores
common,allCoworkers,Encontrar Colegas de Trabalho
common,applicant,Candidato
common,applyTooltip,Candidate-se a este programa
common,areYouSure,Tem certeza de que deseja
common,awards,Subsídios
common,beingLoggedOut,Sua sessão está sendo encerrada.
common,boardGrant,Concessão do Conselho
common,boardParticipation,Participação no Conselho
common,boardPosition,Cargo no Conselho
common,cancelled,Cancelado(a)
common,claimCongrats,Parabéns! Você reivindicou uma organização.
common,closed,Fechado(a)
common,complete,Concluído(a)
common,confirm,Confirmar
common,contacts,Contatos
common,continue,Continuar
common,cycle,Ciclo
common,dateComplete,Data de Conclusão
common,dates,Datas
common,dateFormat,mm/dd/yyyy HH:ii P
common,dateVolunteered,Data do Voluntariado
common,deadlinePassed,Data Limite Passada
common,deselect,Desmarcar
common,donations,Doações
common,dueDate,Data de Vencimento
common,editDelete,Editar / Excluir
common,editOrgInfo,Editar Organização na DonateWell
common,error,Erro
common,errorMsg0,Uma doação mínima de
common,errorMsg1, é exigida para
common,errorMsg2, doações.
common,errorMsg4, é exigida para ser igualada como parte deste programa.
common,errorMsg5,Você não possui limite em fundos de equivalência disponíveis para este programa.
common,errorMsg6,Você possui
common,errorMsg7, restante(s) em fundos de equivalência disponíveis para este programa.
common,errorMsgDate,"Por favor, certifique-se de que a data final do seu projeto seja POSTERIOR à data de início dele."
common,fileRemoveSuccess,Arquivo Removido Com Sucesso
common,filterBy,Filtrar Por
common,for,por
common,grantStatus,Status da Concessão
common,historyLoading,Carregando Histórico . . .
common,history,Histórico
common,hoursType,Tipo de Horas
common,lastName,Sobrenome
common,lastUpdate,Última Atualização
common,login,Entrar
common,manage,Gerenciar
common,matchingGiftsTooltip,igualará sua doação
common,mission,Missão
common,missingFields,Há campos obrigatórios vazios no formulário
common,moveOnToPrograms,Próximos passos: analise nossos programas e candidate-se!
common,myBudget,Meu Orçamento
common,myOrganizations,Minhas Organizações
common,noAvailablePrograms,"No momento, este programa não está aceitando candidaturas."
common,nonprofit,Sem fins lucrativos
common,nonprofits,Sem fins lucrativos
common,notfound,Esta página não foi encontrada.
common,notfoundexp,As informações que você está procurando não foram encontradas ou não existem mais.
common,noFileUploaded,Nenhum Arquivo Carregado
common,open,Abrir
common,or,ou
common,organizations,Organizações
common,orgWarnNote,"Nota: se aplicável, selecione um projeto para registrar suas horas."
common,page,Página
common,pleaseWait,"Por favor, aguarde..."
common,print,Imprimir
common,progressReport,Relatório de Progresso
common,progressReports,Relatórios de Progresso
common,project,Projeto
common,recipient,Destinatário
common,remove,Remover
common,removeVolunteer,Remover Voluntário
common,removeVolunteerPrompt,Tem certeza de que deseja remover este voluntário desta atribuição?
common,require,Requisitar
common,returnToDashboard,Voltar ao Painel
common,review,Análise
common,reviews,Análises
common,role,Função
common,selectAll,Selecionar Tudo
common,selectAllPages,Selecionar Todas as Páginas
common,selectAProgram,Favor Selecionar um Programa para se Candidatar
common,selectedOrganization,Organização Selecionada
common,showing,Exibindo
common,start,Início
common,submittedDate,Data Enviada
common,success,Sucesso!
common,summary,Sumário
common,totalHoursPage,Total de Horas da Página
common,unclaimOrg,remova-se como candidato(a) desta organização
common,unclaimOrgHelper,Remover-se como candidato(a) impedirá que você se candidate em nome desta organização
common,unsavedInvitations,Convites Não Salvos
common,unsavedInvitationsPrompt,Seus convites não foram enviados. Tem certeza de que deseja fechar a janela?
common,updating,Atualizando informações...
common,upcoming,Próximos
common,view,Ver
common,viewAll,Ver Todos
common,viewFullDescription,Ver Descrição Completa
common,viewPrograms,Ver Programas
common,volunteerGrantHistory,Histórico de Concessão do Voluntariado
common,volunteerHours,Horas de Voluntariado
common,volunteerTooltip,Voluntarie-se para este Projeto
common,viewAllAwards,Ver Todos os Subsídios
common,2013,2013
common,2014,2014
common,2015,2015
common,2016,2016
common,2017,2017
common,2018,2018
common,2019,2019
common,accountSettings,Configurações de Conta
common,addressLine1,Linha de endereço 1
common,addressLine2,Linha de endereço 2
common,applicants,Pedidos
common,archive,Arquivo
common,awarded,Concedido
common,clickHereLower,clique aqui
common,county,Condado
common,datePlaceholderLong,DD/MM/AAAA
common,disableSummaryVisibility,Desativar Exibição Resumida
common,draft,Minuta
common,einIfApp,EIN (nº de identificação de empregador EUA) (se aplicável))
common,emailCoworker,E-mail Colega de Trabalho
common,employmentDetails,Detalhes do Emprego
common,enableSummaryVisibility,Habilitar Exibição Resumida
common,errorMsg0,Uma doação mínima de
common,errorMsg6,Você tem
common,errorMsg8,Você não é elegível para uma correspondência para este programa.
common,errorMsg9,Você não tem fundos de correspondência restantes para este programa.
common,givingHistoryTitle, Exibir Histórico de Doações
common,givingHistoryDescription, Ver seu histórico de doação pessoal.
common,goalMet,Meta alcançada!
common,groupStatsSelect,Selecione as estatísticas do seu grupo
common,groupVolunteering,Voluntariado em Grupo
common,homeAddress,Endereço Residencial
common,grantType,Tipo de subvenção
common,incomplete,Incompleto
common,inReview,Em Avaliação
common,loading,Carregando
common,loi,LOI (Carta de Intenções)
common,loiDeclined,LOI Recusada
common,loiSubmitted,LOI Enviada
common,makeadonation,Faça uma Doação
common,makeadonationDescription, Exibir programas de doação disponíveis e doar
common,notAwarded,Não Concedido
common,personalDetails,Dados Pessoais
common,pleaseSelect,Selecionar...
common,requestedAmount,Valor Solicitado
common,required,requerido
common,saved,Salvo
common,saving,Salvando
common,size,Dimensões
common,stateProv,Estado/Província
common,submission,Data de Envio
common,termSD,Data de Início do Prazo
common,termED,Data Final do Prazo
common,unlimited,Ilimitado
common,userPreferences,Preferências do Usuário
common,virtualProject,Projeto Virtual
common,virtualProjects,Projetos Virtuais
common,workAddress,Endereço de Trabalho
company,pageTitle,Iniciativas da Empresa
company,,
dashboard,apply,Aplicar
dashboard,claim,Reivindicar
dashboard,claimNon,Reivindique Sua Organização!
dashboard,dashboard,Painel
dashboard,faq,FAQs
dashboard,featuredPrograms,Programas em Destaque
dashboard,inProgress,Em Andamento
dashboard,manageAll,Gerenciar Todos
dashboard,messages,Mensagens
dashboard,myNons,Minhas organizações
dashboard,newMessageText,Você possui %1 novas mensagens
dashboard,noMessages,"""No momento, você não possui mensagens."""
dashboard,noOrgAlert,"""Por favor, comece reivindicando sua organização!"""
dashboard,payments,Pagamentos
dashboard,programs,Programas
dashboard,requestStatus,"""Você ainda não possui solicitações. Para iniciar uma inscrição, """
dashboard,stats,Estatísticas
dashboard,viewAvil,ver Programas disponíveis
dashboard,applyForGrant,Candidate-se para uma Concessão
dashboard,claimedOrg,organização reivindicada
dashboard,claimedOrgs,organizações reivindicadas
dashboard,claimAnOrg,Reivindique uma Organização
dashboard,claimNon,Reivindique Sua Entidade Sem Fins Lucrativos!
dashboard,filter1Year,1 Ano
dashboard,filter30Days,30 Dias
dashboard,filter6Months,6 Meses
dashboard,filter90Days,90 Dias
dashboard,getStarted,Comece Já
dashboard,lastUpdatedDate,Última Atualização
dashboard,inProgressTitle,Itens Recentes de Trabalho
dashboard,iWantTo,Eu quero...
dashboard,noRequests,Você não possui nenhuma requisição atribuída para analisar em
dashboard,noRequestFilter,Você não possui nenhum item de trabalho em
dashboard,recognize,Reconhecer
dashboard,remaining,Restantes
dashboard,reviewPrograms,Analise os Programas disponíveis para candidatura.
dashboard,reviewOurPrograms,Analise nossos Programas
dashboard,spent,Gasto
dashboard,startClaim,"Por favor, comece reivindicando uma organização!"
dashboard,step1,Passo 1: Reivindique Sua Organização
dashboard,step1Complete,Passo 1: CONCLUÍDO
dashboard,step2,Passo 2: Analise Nossos Programas
dashboard,step3,Passo 3: Candidate-se
dashboard,toApply,"Para Candidatar-se, clique no botão de candidatura próximo ao Programa Aberto."
dashboard,totalAwarded,Total Subsidiado
dashboard,totalRequested,Total Requisitado
dashboard,voteAndNominate,Votar e Nomear
dashboard,youHave,Você possui
donate,billingAddress,Endereço de Cobrança
donate,cardNumber,Número do Cartão
donate,cardExpirationDate,mm/aaaa
donate,clickUploadReceipt,Clique aqui para enviar seu recibo
donate,cvCode,Código CV
donate,dedication,Dedique este presente a um amigo ou ente querido
donate,donationDate,Insira a data em que fez a doação
donate,donationType,Tipo de Doação
donate,donateNowTooltip,"""Faça uma doação online usando seu cartão de crédito e solicite uma equivalência, se elegível."""
donate,enterHonoreeName,Nome deles
donate,expirationDate,Data de Validade
donate,inHonorOf,Em honra de
donate,inMemoryOf,Em memória de
donate,givingProgram,Programa de Doações
donate,makeAnonymously,Fazer esta doação anonimamente
donate,nameAsItAppears,Nome conforme consta no cartão
donate,pageTitleOnline,Doar Agora
donate,pageTitleOffline,Registrar uma Doação
donate,pageTitlePayroll,Dedução em Folha
donate,paymentDetails,Dados de Pagamento
donate,postalCode,CEP
donate,recordDonationTooltip,"""Registre uma doação que você realizou em outro lugar e solicite uma equivalência, se elegível."""
donate,requestMatch,Solicitar equivalência
donate,s,
donate,selectedNonprofit,Organização selecionada
donate,selectANonprofit,Selecione uma organização
donate,selectedOrganization,A organização selecionada se qualifica para os seguintes programas de doações
donate,selectGivingProgram,Favor selecionar um programa de doação
donate,setupDeductionTooltip,Configure uma nova dedução em folha.
donate,state,Estado
donate,specificPurpose,Peça que a organização use a doação para um fim específico
donate,streetAddress,Endereço
donate,toDonateSearch,"""Para doar, por favor, escolha um destinatário; procure pelo nome, local ou EIN"""
donate,uploadReceipt,Envie uma cópia do recibo obtido nesta doação
donate,validCardNumber,Número de Cartão Válido
donate,amountDonated,Insira a quantia que você doou
donate,donate,Doar
donate,dollarType,$
donate,donateNowTooltip,Faça uma doação online usando seu cartão de crédito.
donate,enterAmountDeducted,Insira a quantia que você deseja ter deduzida anualmente
donate,enterAmountPaycheck,Insira a quantia que você deduz de cada salário
donate,enterHonoreeName,Insira o nome do homenageado
donate,errorProcessingTransaction,Houve um erro ao processar sua transação
donate,estimatedLabel,A quantia estimada da sua Concessão de Equivalência:
donate,inputDonationAmount,Insira a quantia que gostaria de doar
donate,isRequired,é exigido(a) para doações em folha de pagamento
donate,matchingGrant,A quantia da sua Concessão de Equivalência não pode exceder
donate,matchingRequested,Sua doação de equivalência foi requisitada
donate,minimumOf,Um mínimo de
donate,noFuturePayment,A data não pode ser futura!
donate,noProgramsAvailable,Não há programas de doação disponíveis para a organização selecionada
donate,orgAdded,foi adicionada à sua lista de organizações apoiadas
donate,payrollDeductionCreated,Sua dedução em folha de pagamento foi criada
donate,processingPayment,Seu pagamento está sendo processado
donate,recordDonation,Registrar Doação
donate,recordDonationTooltip,Registre uma doação que você fez em outro lugar.
donate,savePayrollDeduction,Salvar Dedução em Folha
donate,selectedNonprofit,Organização Selecionada
donate,selectANonprofit,Selecione uma Organização
donate,thankYouForDonation,Agradecemos pela sua doação
donate,thankYouOffline,Agradecemos por registrar sua doação offline
donate,viewEligibleOrganizations,Ver Organizações Elegíveis
donate,addOrgEmail,"consta em nosso banco de dados, mas não forneceu informações de contato atualizadas. A organização filantrópica precisa confirmar sua doação antes de poder processar sua Doação de Correspondência. Por favor, forneça um endereço de e-mail para contatar a organização."
donate,dateAfterStartDate,A data deve ser até a Data de Início do Programa:
donate,errorProcessingCC,Houve um erro ao processar o seu cartão de crédito.
donate,estimatedLabel,Valor estimado da sua Doação de Correspondência:
donate,matchingGrant,O valor da sua Doação de Correspondência não pode exceder
donate,pageTitleOffline,Registrar uma doação
donate,pageTitleOnline,Doar agora
donate,pageTitlePayroll,Dedução de folha de pagamento
donate,receiptSizeMsg,O recibo para upload não pode ter mais de 80 MBs
donate,selectANonprofit,Selecionar uma Organização
donate,toDonateSearch,"Para doar, escolha um beneficiário - Pesquise por nome, localização ou Matrícula"
emails,acceptedToGroup,Você foi aceito no grupo
emails,cancellationSpace1,"""Foi disponibilizado um espaço no seu projeto em razão do cancelamento por um dos seus participantes. Como lembrete, você tem membros de equipe na lista de espera do seu projeto. Por favor, revisite o"""
emails,cancellationSpace2,para adicionar colegas de trabalho da sua lista de espera. Eles receberão uma notificação por e-mail informando sobre sua adição como voluntário no projeto.
emails,congratulations,Parabéns
emails,dear,Prezado(a)
emails,forgot_pwd_body,Recebemos uma solicitação para redefinir a sua senha. A nova senha temporária que você usará para efetuar login é:
emails,forgot_pwd_link_text,Entrar
emails,forgot_pwd_subject,Solicitação de Redefinição de Senha
emails,invitedBy,Você foi convidado por
emails,leader,Líder
emails,loginToRegister,Efetue login no portal do funcionário para se registrar nesta oportunidade empolgante
emails,projectDate,Data do Projeto
emails,signUpHere,Registre-se Aqui
emails,thankYou,Obrigado
emails,thanksAgain,Obrigado Novamente
emails,thankCoordinator,Obrigado por coordenar o projeto voluntário
emails,verify_email_body,"""Obrigado por se registrar. Por favor, clique no link abaixo para confirmar seu endereço de e-mail."""
emails,verify_email_subject,Bem-vindo(a) ao Good Done Great
emails,volunteerFor,para voluntariar-se para
emails,volunteerProject,Projeto Voluntário
emails,addedToCommittee,Você foi adicionado(a) a um Comitê de Revisão
emails,addedToCommittee1,Você foi adicionado(a) recentemente como membro do(a)
emails,addedToCommittee2,"para ajudar na análise de requisições enviadas para financiamento. Agradecemos por desempenhar esta função. Para ver as requisições atribuídas a este comitê para análise, por favor, efetue login no portal do funcionário e navegue até a aba Concessão e então Analisar."
emails,amountRequested,Quantia Requisitada:
emails,applicant,Candidato:
emails,accessCode,Código de Acesso:
emails,applicationProcessing,"Estamos em processo de análise da candidatura e você receberá uma notificação quando uma decisão for tomada. Você pode verificar o status da sua candidatura no portal do funcionário, a qualquer momento. Agradecemos pelo seu valioso tempo atendendo nossa comunidade!"
emails,approvedLOI1,Parabéns! A carta de intenções da sua requisição foi aprovada para o programa
emails,approvedLOI2,". Por favor, visite nosso candidato"
emails,approvedLOI3,antes do prazo de envio da requisição de
emails,approvedLOI4,para concluir e enviar sua requisição completa.
emails,approvedLOI5,"Se, em algum momento durante este processo de candidatura, você tiver dúvidas, por favor, sinta-se à vontade para nos contatar no endereço exibido abaixo."
emails,awardedOn,concedida em
emails,awardRequest1,"Temos a satisfação de informá-lo(a) que a seguinte requisição, "
emails,awardRequest2,", foi aprovada para a concessão de"
emails,awardRequest3,na quantia de
emails,awardRequest4,". Por favor, prossiga para o nosso portal para aceitar seu subsídio e baixar o contrato de concessão. Forneceremos os próximos passos em seguida."
emails,confirmNewOrgRequest1,Agradecemos por sugerir
emails,confirmNewOrgRequest2,para ser adicionada à nossa base de dados na DonateWell. Eles serão contatados em
emails,confirmNewOrgRequest3,com os próximos passos
emails,confirmNewOrgRequestSubject,Requisição de Organização Confirmada
emails,declinedLOI1,Agradecemos por enviar sua carta de intenções para a concessão de
emails,declinedLOI2,. Lamentamos informá-lo(a) de que você não foi aprovado(a) para enviar uma candidatura completa para a seguinte requisição:
emails,declinedLOI3,Encorajamos a leitura das diretrizes do nosso programa de concessões e
emails,declinedLOI4,e uma nova candidatura
emails,declinedLOI5,"no futuro. Caso tenha alguma dúvida, por favor, sinta-se à vontade para nos contatar no endereço exibido abaixo."
emails,declinedRequest1,"Lamentamos informá-lo(a) de que não pudemos financiar sua requisição, "
emails,declinedRequest2,para a concessão de
