area,key,zh-CN
apply,saveAsDraft,另存为草稿
apply,saveCollaborator,保存合作者
apply,saveCollaborators,保存合作者
apply,saveCollaboratorsSuccess,已经邀请您的合作者。
apply,saveForLater,保存以备后用
apply,saveProgress,保存进度
apply,saveSuccessful,进度已保存！
apply,select,选择
apply,selectApplicantsInstructionsModal,若要添加申请人至此申请，请从下方的联系人列表选择或者通过点击“新申请人”来添加。
apply,selectCollaboratorsInstructionsModal,若要向本申请添加合作者，可从下列联系人列表选择或点击“新合作者”添加。
apply,selectCollaboratorsInstructionsModal,若要添加合作者至此申请，请从下方的联系人列表选择或者通过点击“新合作者”来添加。
apply,selectCollaboratorsInstructionsModalEmp,若要添加合作者至此申请，请从下方的联系人列表选择。
apply,selectCollaboratorsWarning,注：每次仅一位申请人可编辑申请，否则您会有丢失数据的风险。
apply,selectCollaboratorsWarning,请注意：每次只能有一位申请人可以编辑申请，否则您可能会丢失数据。
apply,selectCollaboratorsWarning2,当一位申请人获得邀请之后，您无法删除他。如果您想删除已经获得邀请的申请人，请联系您的系统管理员。
apply,selectContacts,选择联系人
apply,selectContactsInstructions,点击“添加联系人”按钮来添加或者附加与此申请相关的机构联系人。
apply,selectContactsInstructions,若要向本申请添加联系人，点击“添加联系人”按钮
apply,selectContactsInstructions,选择机构联系人，以添加至该申请
apply,selectContactsInstructionsModal,若要向本申请添加联系人，点击“新联系人”，在下面输入联系人信息
apply,selectContactsInstructionsNote,请注意：这些联系人将不能查看/编辑此申请。如果您希望分享此申请，请使用“与合作者分享”按钮。
apply,selected,已选择
apply,selectNonprofit,选择机构
apply,selectOrganization,选择机构
apply,shareRequest,与合作者共享
apply,shareTooltip,允许同事查看并编辑本申请。
apply,shareTooltipDisabled,您在共享本申请之前必须选择一个机构。
apply,submitFailure,您尚未完成申请的这一部分
apply,submitRequest,提交您的申请
apply,submitSuccess,您已成功申请资金。您的申请将被审核。
apply,submitWarning,一旦提交，您的申请将被锁定，您将无法进行任何修改。
apply,uploadFile,上传文件
apply,uploadFileDesc,选择您的文件
apply,viewAllReports,查看所有报告
apply,viewAllRequests,查看所有申请
common,2013,2013
common,2013,2013年
common,2014,2014
common,2014,2014年
common,2015,2015
common,2015,2015年
common,2016,2016
common,2016,2016年
common,2017,2017
common,2017,2017年
common,2018,2018
common,2018,2018年
common,2019,2019
common,2019,2019年
common,abandon,放弃
common,about,关于
common,aboutProgram,了解更多本计划的信息
common,aboutProject,了解更多本项目的信息
common,accountSettings,账户设置
common,action,操作
common,actions,行动
common,add,添加
common,additionalInfo,附加信息
common,addNew,添加新内容
common,address,地址
common,addressLine1,地址行1
common,addressLine2,地址行2
common,administrator,管理员
common,administrators,管理员
common,allCoworkers,所有同事
common,allCoworkers,查找合作者
common,amFollowing,我在关注
common,amount,金额
common,anonymous,匿名
common,applicant,申请人
common,applicants,申请人
common,apply,应用
common,applyTooltip,申请本计划
common,archive,存档
common,archive,档案
common,areYouSure,您确定想要
common,assignmentSelector,请为协调员选择任务：
common,attended,已出席
common,authDashboard,主控面板
common,award,名称
common,award,奖励
common,awarded,已拨款
common,awards,奖励
common,awards,授予
common,back,返回
common,beingLoggedOut,您正在登出。
common,boardGrant,董事会资金
common,boardParticipation,董事会参与
common,boardPosition,董事会职位
common,byInitiative,按行动
common,byOrganization,按机构
common,byProgram,按计划
common,cancel,取消
common,cancelled,已取消
common,cancelRequest,取消请求
common,city,城市
common,claimCongrats,恭喜！您已领取一个机构。
common,clear,清除
common,clickHere,点击此处
common,clickHereLower,点击这里
common,close,关闭
common,closed,已关闭
common,companyImpact,公司的影响力
common,companyInitiatives,公司的行动
common,complete,完成
common,confirm,确认
common,congratulationsMessage,恭喜！您收到一笔款项，金额为
common,contact,联系人
common,contacts,联系人
common,continue,继续
common,country,国家
common,county,区县
common,coworker,同事
common,coworkers,同事
common,createdAt,创建在
common,cycle,周期
common,cycleOpen,周期开启
common,dashboard,主控面板
common,date,日期
common,dateComplete,完成日期
common,dateFormat,年/月/日 HH:ii P
common,datepickerPlaceholder,年/月/日 小时:分钟 上午/下午
common,datePlaceholder,两位月/两位日/两位年
common,datePlaceholderLong,年/月/日
common,dates,日期
common,dateVolunteered,做志愿者工作的日期
common,dateVolunteered,担任志愿者的日期
common,deadlinePassed,超过截止日期
common,delete,删除
common,description,描述
common,deselect,取消选定
common,details,详情
common,disabled,已禁用
common,disableSummaryVisibility,禁用概览视图
common,documentUpload,文件上传
common,dollars,美元
common,donateNowButton,立即捐赠
common,donations,捐赠
common,draft,草稿
common,dueDate,到期日
common,edit,编辑
common,editDelete,编辑/删除
common,editOrgInfo,在DonateWell中编辑机构
common,einIfApp,美国雇主识别号码（如适用）
common,email,电子邮件
common,emailCoworker,发电子邮件给同事
common,employeeParticipation,员工参与
common,employmentDetails,就业详情
common,enableSummaryVisibility,启用概览视图
common,endDate,结束日期
common,endTime,结束时间
common,error,错误
common,errorMsg0,最低捐赠额为
common,errorMsg0,最少捐赠
common,errorMsg1,必须
common,errorMsg2,捐赠。
common,errorMsg4,作为本计划的一部分，必须接收一项匹配。
common,errorMsg5,您在本计划的可用匹配资金方面没有限制。
common,errorMsg6,您拥有
common,errorMsg6,您有
common,errorMsg7,本计划的可用匹配资金剩余。
common,errorMsg8,您没有资格对该计划进行匹配捐赠。
common,errorMsg9,您没有该计划的剩余匹配捐赠额。
common,errorMsgDate,请确保您的项目终止日期在项目开始日期之后。
common,event,项目
common,faq,常问问题解答
common,faqLong,常问问题解答
common,faqs,常见问题解答
common,fileRemoveSuccess,成功移除的文件
common,filterBy,按……过滤
common,firstName,名字
common,for,为了
common,friends,朋友
common,friendsFamily,朋友和家人
common,give,捐赠
common,giveLater,我会稍后捐赠
common,giveNow,立即捐赠！
common,giving,捐赠
common,givingHistory,捐赠历史
common,givingHistoryDescription,查看您的个人捐赠历史。
common,givingHistoryTitle,查看捐赠历史
common,goalMet,已达到目标！
common,goals,目标
common,grant,补助
common,grantStatus,资金状态
common,grantType,资助类型
common,group,团体
common,groupGiving,团体的捐赠
common,groupImpact,团体的影响力
common,groups,团体
common,groupStatsSelect,选择您的团体统计数据
common,groupVolunteering,团体志愿活动
common,haveSupported,我支持了
common,help,请帮帮忙！
common,here,此处
common,hi,您好
common,history,历史
common,historyDoesNotExist,历史记录不存在
common,historyLoading,历史加载中……
common,home,主页
common,homeAddress,家庭住址
common,hours,小时数
common,hoursType,时数类型
common,impact,影响
common,in,在
common,incomplete,未完成
common,information,信息
common,initiative,行动
common,inReview,审核中
common,instructions,说明
common,invite,邀请
common,invited,已邀请
common,inviteOnly,仅限邀请
common,join,加入
common,lastName,姓
common,lastName,姓氏
common,lastUpdate,最后更新
common,learnMore,了解更多
common,less,减去
common,loading,载入中
common,login,登录
common,loi,意向书
common,loiDeclined,意向书被拒绝
common,loiSubmitted,意向书已提交
common,makeadonation,作出捐赠
common,makeadonation,进行捐赠！
common,makeadonationDescription,查看可参加的捐赠计划并捐赠
common,manage,管理
common,matching,正在匹配
common,matchingGifts,正在匹配礼物
common,matchingGiftsTooltip,将匹配您的捐赠
common,message,消息
common,messages,消息
common,messaging,正在发送消息
common,missingFields,表格中有必填项未填
common,mission,任务
common,mission,使命
common,mobilePhone,手机
common,more,更多
common,moreInfo,更多信息
common,moveOnToPrograms,后续步骤：审核我们的计划并提出申请！
common,myBudget,我的预算
common,mygiving,我的捐赠
common,myGroupImpact,我团体的影响力
common,myimpact,我的影响力
common,myOrganizations,我的机构
common,name,名称
common,new,新
common,next,下一步
common,no,否
common,noAvailablePrograms,本计划目前不接受申请。
common,noFileUploaded,未上传任何文件
common,nonprofit,机构
common,nonprofit,非盈利机构
common,nonprofits,机构
common,nonprofits,非盈利机构
common,notAwarded,未拨款
common,notfound,无法显示网页。
common,notfoundexp,您查找的信息无法显示或已不存在。
common,ongoing,正在进行的
common,open,打开
common,openings,空缺
common,optional,（可选）
common,or,或
common,organization,机构
common,organizations,机构
common,orgsThat,…的机构
common,orgWarnNote,注：如果适用，选择记录时数的项目。
common,other,其它
common,overview,概观
common,page,页面
common,participants,参与者
common,participation,参与
common,password,密码
common,paycheck,薪水
common,payments,支付
common,payrollDeduction,薪资扣除
common,payrollDeductions,薪资扣除
common,per,每
common,personalDetails,个人资料
common,personalHours,个人小时数
common,phone,电话号码
common,pleaseSelect,请选择…
common,pleaseWait,请等候……
common,preview,预览
common,previous,先前的
common,print,打印
common,privacy,隐私
common,private,私人
common,profile,资料
common,program,计划
common,programIsNoLongerActive,该计划不再有效
common,programs,计划
common,progressReport,进度报告
common,progressReports,进展报告
common,progressReports,进度报告
common,project,项目
common,projectHours,项目小时数
common,projects,项目
common,public,公共
common,questions,问题
common,recipient,接受者
common,recipient,接收人
common,recordADonation,记录捐赠
common,remainingMatchFunds,可用匹配资金
common,remainingMatchFundsExplanation,这是您本财年有资格获得的匹配礼物剩余量。
common,remove,移除
common,removeVolunteer,移除志愿者
common,removeVolunteerPrompt,您确定想要从本任务中移除志愿者吗？
common,reports,报告
common,request,请求
common,requestAMatch,要求匹配
common,requestedAmount,申请的金额
common,requests,请求
common,require,要求
common,required,必须
common,returnToDashboard,返回仪表板
common,review,审核
common,reviews,审核
common,role,作用
common,roster,名册
common,save,保存
common,saved,已保存
common,saving,保存中
common,search,搜索
common,select,选择
common,selectAll,选择所有
common,selectAllPages,选择所有页面
common,selectAProgram,请选择所要申请的计划
common,selectAVolunteerProgram,选择志愿者计划
common,selected,已选择
common,selectedNonprofit,已选择机构
common,selectedOrganization,选择机构
common,selectOrganization,选择机构
common,send,发送
common,setagoal,设定目标
common,settings,设置
common,setupPayrollDeduction,薪资捐赠
common,shirt,衬衫尺码
common,showing,显示
common,signIn,登记
common,signOut,退出
common,signUp,注册
common,size,大小
common,skills,技能
common,specialInstructions,特别说明
common,sponsor,赞助人
common,start,开始
common,startDate,开始日期
common,startTime,开始时间
common,state,州
common,stateProv,州/省
common,status,状态
common,streetAddress,街道地址
common,subject,主题
common,submission,提交日期
common,submission,提交时间
common,submit,提交
common,submitted,已提交
common,submittedDate,提交日期
common,success,成功！
common,suggestProject,推荐项目
common,summary,总结
common,termED,期限结束日期
common,termSD,期限开始日期
common,text,文本
common,thisYear,今年
common,timePlaceholder,HH:MM 上午/下午
common,title,标题
common,togoal,目标
common,total,总计
common,totalGiving,捐赠总额
common,totalHours,总小时数
common,totalHoursPage,页面总时数
common,totalImpact,总体影响
common,totalParticipation,参与总量
common,tourTitle,参观
common,type,类型
common,unclaimOrg,将您本人作为此机构的申请人移除
common,unclaimOrgHelper,将您本人作为申请人移除将阻止您代表此机构进行申请
common,unlimited,无限制
common,unlimited,没有最大值
common,unsavedInvitations,未保存的邀请
common,unsavedInvitationsPrompt,您的邀请未被发送。您确定想要关闭窗口吗？
common,upcoming,即将出现
common,updating,刷新信息……
common,upload,上传
common,userPreferences,用户首选项
common,users,用户
common,view,查看
common,viewAll,查看全部
common,viewAll,查看所有
common,viewAllAwards,查看所有授予
common,viewFullDescription,查看完整描述
common,viewFullDesctiption,查看完整描述
common,viewPrograms,查看计划
common,virtualProject,虚拟项目
common,virtualProjects,虚拟项目
common,volunteer,志愿者
common,volunteerDate,担任志愿者的日期
common,volunteerGrantHistory,志愿者资金授予历史
common,volunteerGrants,志愿者补助
common,volunteerHours,志愿者时数
common,volunteering,担任志愿者
common,volunteerLater,我会稍后担任志愿者
common,volunteerNow,立即担任志愿者！
common,volunteerParticipation,志愿者参与
common,volunteers,志愿者
common,volunteerTooltip,本项目的志愿者
common,workAddress,工作地址
common,year,年
common,yes,是
common,zipCityState,邮编、城市，或州
company,,
company,pageTitle,公司行动
company,termED,期限结束日期
company,termSD,期限开始日期
dashboard,apply,应用
dashboard,applyForGrant,申请资金
dashboard,claim,宣称
dashboard,claimAnOrg,领取一家机构
dashboard,claimedOrg,领取的机构
dashboard,claimedOrgs,领取的机构
dashboard,claimNon,宣称您的机构！
dashboard,claimNon,领取您的非盈利机构！
dashboard,dashboard,主控面板
dashboard,faq,常见问题解答
dashboard,featuredPrograms,特色计划
dashboard,filter1Year,1年
dashboard,filter30Days,30天
dashboard,filter6Months,6个月
dashboard,filter90Days,90天
dashboard,getStarted,开始
dashboard,inProgress,进行中
dashboard,inProgressTitle,最近的工作项目
dashboard,iWantTo,我想……
dashboard,lastUpdatedDate,最后更新
dashboard,manageAll,管理所有
dashboard,messages,消息
dashboard,myNons,我的机构
dashboard,newMessageText,您有%1条新消息
dashboard,noMessages,您目前没有任何消息。
dashboard,noOrgAlert,请先宣称您的组机构来开始！
dashboard,noRequestFilter,您在……内没有任何工作项目
dashboard,noRequests,您没有任何指定在……内审核的申请
dashboard,pageTitle,公司行动
dashboard,payments,支付
dashboard,programs,计划
dashboard,recognize,识别
dashboard,remaining,剩余
dashboard,requestStatus,您还没有任何请求。要开始申请，
dashboard,reviewOurPrograms,审核我们的计划
dashboard,reviewPrograms,审核可用于申请的计划
dashboard,spent,花费
dashboard,startClaim,请首先以领取一个机构开始！
dashboard,stats,统计数字
dashboard,step1,第一步：领取您的机构
dashboard,step1Complete,第一步：完成
dashboard,step2,第二步：审核我们的计划
dashboard,step3,第三步：申请
dashboard,toApply,若要申请，点击“开放计划”旁的“申请”按钮。
dashboard,totalAwarded,授予总数
dashboard,totalRequested,申请总数
dashboard,unlimited,无限制
dashboard,viewAvil,查看可用计划
dashboard,virtualProjects,虚拟项目
dashboard,voteAndNominate,投票并提名
dashboard,youHave,您有
donate,addOrgEmail,在我们的数据库中，但是尚未提供最新联系方式。在处理您的匹配捐赠之前，该慈善机构必须先验证您的捐赠。请提供可以联系到该机构的电子邮件地址。
donate,amountDonated,输入您捐赠的金额
donate,billingAddress,帐单地址
donate,cardExpirationDate,两位月/四位年
donate,cardNumber,卡号
donate,clickUploadReceipt,点击此处上传您的收据
donate,cvCode,CV码
donate,dateAfterStartDate,日期必须与计划起始日期相同或者更晚：
donate,dedication,将这份礼物献给朋友或亲人
donate,dollarType,$
donate,donate,捐赠
donate,donateNowTooltip,使用您的信用卡进行在线捐赠。
donate,donateNowTooltip,用信用卡进行在线捐赠，如果有资格就要求匹配。
donate,donationDate,输入捐赠日期
donate,donationType,捐赠类型
donate,enterAmountDeducted,输入您每年希望扣除的金额
donate,enterAmountPaycheck,输入您希望从每笔薪金中扣除的金额
donate,enterHonoreeName,他们的姓名
donate,enterHonoreeName,输入领奖人的名称
donate,errorProcessingCC,处理您的信用卡时出错。
donate,errorProcessingTransaction,处理您的交易时出现错误
donate,estimatedLabel,您的预计匹配捐赠金额：
donate,estimatedLabel,您的预计匹配资金金额：
donate,expirationDate,截止日期
donate,givingProgram,捐赠计划
donate,inHonorOf,为了向…致敬
donate,inMemoryOf,为了纪念
donate,inputDonationAmount,输入您希望捐赠的金额
donate,isRequired,对于您的薪金捐赠为必备
donate,makeAnonymously,匿名捐赠
donate,matchingGrant,不能超过您的匹配捐赠金额
donate,matchingGrant,您的匹配资金金额不得超过
donate,matchingRequested,您的匹配礼物已经申请
donate,minimumOf,至少
donate,nameAsItAppears,卡上的姓名
donate,noFuturePayment,日期不可为将来！
donate,noProgramsAvailable,所选机构没有给予计划可用
donate,orgAdded,已添加至您的支持机构列表
donate,pageTitleOffline,记录捐赠
donate,pageTitleOnline,立刻捐赠
donate,pageTitleOnline,立即捐赠
donate,pageTitlePayroll,工资扣款
donate,pageTitlePayroll,薪资扣除
donate,paymentDetails,支付详情
donate,payrollDeductionCreated,您的薪金扣除已创建
donate,postalCode,邮政编码
donate,processingPayment,您的付款正在处理
donate,receiptSizeMsg,上传的收据不能超过80 MB
donate,recordDonation,记录捐赠
donate,recordDonationTooltip,记录您在其它地方给予的捐赠。
donate,recordDonationTooltip,记录您在其它地方进行的捐赠，如果有资格就要求匹配。
donate,requestMatch,要求匹配
donate,s,
donate,savePayrollDeduction,保存薪金扣除
donate,selectANonprofit,选择一家机构
donate,selectANonprofit,选择机构
donate,selectedNonprofit,已选择机构
donate,selectedNonprofit,已选机构
donate,selectedOrganization,选定的机构有资格参与以下捐赠计划
donate,selectGivingProgram,请选择捐赠计划
donate,setupDeductionTooltip,设置新的薪资扣除。
donate,specificPurpose,要求机构将捐赠用于特定目的
donate,state,州
donate,step2,第二步：审核我们的计划
donate,step3,第三步：申请
donate,streetAddress,街道地址
donate,thankYouForDonation,感谢您的捐赠
donate,thankYouOffline,感谢您记录自己的离线捐赠
donate,toApply,若要申请，点击“开放计划”旁的“申请”按钮。
donate,toDonateSearch,若要捐赠，请选择接收者——使用名称、地点或注册ID搜索
donate,toDonateSearch,要捐赠，请选择接受者 - 按名称、位置或EIN搜索
donate,totalAwarded,授予总数
donate,totalRequested,申请总数
donate,uploadReceipt,上传您收到的本次捐赠的收据副本
donate,validCardNumber,有效卡号
donate,viewEligibleOrganizations,查看合格机构
donate,voteAndNominate,投票并提名
donate,youHave,您有
emails,acceptedToGroup,您已被该团体接受
emails,accessCode,接入码：
emails,accountCreated,已经为您创建一个账户，供您审核资助申请。
emails,accountCreated2,点击以下链接登录。
emails,addedBy,您已经被…添加
emails,addedToCommittee,您已被添加至审核委员会
emails,addedToCommittee1,您最近作为……会员被添加
emails,addedToCommittee2,帮助审核所提交的资金申请。感谢您担任这一职位。若要查看指定给本委员会进行审核的申请，请登录员工门户，导航至“资金授予”，然后转至“审核”选项卡。
emails,amountRequested,申请金额：
emails,applicant,申请人：
emails,applicationProcessing,我们正在审核申请，做出决定后，您将收到通知。您还可随时在员工门户查看您的申请状态。感谢您花费宝贵时间为社区提供服务！
emails,approvedLOI1,恭喜！您的……意向申请已获批准
emails,approvedLOI2,计划。请访问我们的申请人
emails,approvedLOI3,在……申请提交截止日期前
emails,approvedLOI4,完成并提交您的完整申请。
emails,approvedLOI5,如您在申请过程的任何时候有任何疑问，请尽管按下列所示地址联系我们。
emails,assignment,任务
emails,awardedOn,在……授予
emails,awardRequest1,我们高兴地通知您，下列申请，
emails,awardRequest2,已获批准
emails,awardRequest3,资金金额为
emails,awardRequest4,。请前往我们的门户，接受您的授予并下载资金授予协议。此后，我们将进行后续步骤。
emails,cancellationSpace1,因为一位参与者已取消，您的项目中目前有空位。在此提醒您，一些团队成员在您项目的候补名单上。请再次访问…
emails,cancellationSpace2,以便从候补名单上添加同事。他们将收到电子邮件通知，告知他/她已被添加为该项目的志愿者。
emails,clickToLearn,点击以了解更多
emails,confirmNewOrgRequest1,感谢您建议
emails,confirmNewOrgRequest2,添加至我们的DonateWell数据库。将在……联系他们
emails,confirmNewOrgRequest3,采取后续步骤
emails,confirmNewOrgRequestSubject,机构申请确认
emails,congratulations,恭喜
emails,dear,尊敬的
emails,declinedLOI1,感谢您提交……意向书
emails,declinedLOI2,资金授予。我们遗憾地通知您，您未被获准提交下列请求的完整申请：
emails,declinedLOI3,我们鼓励您阅读我们的资金计划指南并
emails,declinedLOI4,在以后再次申请。
emails,declinedLOI5,如您有任何疑问，请尽管按下列所示地址联系我们。
emails,declinedRequest1,我们遗憾地通知您，我们无法为您的申请提供资金，
emails,declinedRequest2,为了
emails,declinedRequest3,此次资金授予。如有任何问题，请尽管联系我们。我们非常感谢您对您当地社区的支持。
emails,donationTY1,感谢您
emails,donationTY10,所建议的捐赠机构：
emails,donationTY11,机构地址：
emails,donationTY12,经过考虑的捐赠金额：
emails,donationTY13,您的捐赠
emails,donationTY14,已由DonateWell处理，并为……推荐
emails,donationTY15,DonateWell将作为对……的捐赠授予这些资金
emails,donationTY16,若要了解更多信息，请参考我们的服务条款。
emails,donationTY17,请注意，IRS要求您保留此函作为收据，以证明您的慈善礼物。
emails,donationTY18,根据IRS的慈善捐赠要求，DonateWell确认其未因您的慈善礼物而向您提供任何商品或服务或交换好处（有形或无形）。
emails,donationTY19,您收到本交易邮件，作为您通过……捐赠的收据
emails,donationTY2,经过考虑的捐赠
emails,donationTY20,以及Good Done Great。
emails,donationTY21,如您有疑问或需要帮助，可访问我们的支持中心。
emails,donationTY22,请注意：本电子邮件信息从仅为通知地址发出，无法接受传入电子邮件。请勿回复本信息。
emails,donationTY23,请注意，IRS要求您保留此函作为收据，以证明您的慈善礼物。
emails,donationTY24,DonateWell
emails,donationTY25,捐赠日期：
emails,donationTY26,注册ID：46-0942102
emails,donationTY26,雇主识别号码：46-0942102
emails,donationTY27,1127 Broadway Suite 102
emails,donationTY28,塔科马市，华盛顿州 98402
emails,donationTY3,您的捐赠使得
emails,donationTY4,给予社区非常强大
emails,donationTY5,捐赠收据
emails,donationTY6,捐赠者名称：
emails,donationTY7,慈善礼物金额：
emails,donationTY8,捐赠者建议的资金赞助人：
emails,donationTY9,DonateWell
emails,donationTYSubject,感谢您的在线捐赠
emails,employeeApplicant,员工申请人：
emails,forgot_pwd_body,我们收到了您的重置密码请求。您用来登录的新的临时密码为：
emails,forgot_pwd_link_text,登记
emails,forgot_pwd_subject,Good Done Great密码重置请求
emails,forgot_pwd_subject,密码重置请求
emails,forThe,为了
emails,grant,资金
emails,grantAccepted,资金已接受
emails,grantProgram,资金授予计划：
emails,grantSubmittedSubtext1,董事会资金已提交
emails,grantSubmittedSubtext2,志愿者资金已提交
emails,hello,您好
emails,incomplete,不完整
emails,incompleteRequest1,您的申请，
emails,incompleteRequest2,不完整，在……结束前提交
emails,incompleteRequest3,。请考虑在本计划下一周期申请。如有任何疑问，请尽管随时联系我们。
emails,inTHeAmountOf,金额为$
emails,invitationToCollaborate1,您已受到{sender}的邀请，就{programName}资金授予计划的{npoName}资金申请事宜进行合作。
emails,invitationToCollaborate2,请注意，每次只能由一人编辑申请。如果多人同时尝试编辑申请，则有丢失数据的风险。
emails,invitationToCollaborate3,您可通过下列url查看并编辑申请：
emails,invitationToCollaborateSubject,资金合作邀请函
emails,invitationToParticipate1,您已被邀请参加
emails,invitationToParticipateSubject,邀请参加
emails,inviteApplicant,申请邀请函：
emails,inviteApplicant1,希望邀请您申请
emails,inviteApplicant2,计划。点击下列链接，登录我们的门户，查看计划。登录之后，即可点击“申请”，开始申请流程。您将被提示输入下方显示显示的接入码，以继续此流程。
emails,inviteApplicant2,计划。点击以下链接登录我们的门户网站并查看计划。登录后，通过点击“申请”开始申请流程。
emails,inviteApplicant3,您将收到输入下方所示访问码的提示，以继续该流程。
emails,inviteApplicant4,想邀请您申请资助。请使用以下链接登录门户网站并浏览我们的可参加计划。
emails,inviteApplicantCustom,“”
emails,invitedBy,…邀请了您
emails,justLogin,登录
emails,leader,领导
emails,leader,领导者
emails,letterOfIntent1,感谢您提交意向书
emails,letterOfIntent2,为了
emails,letterOfIntentRecieved,意向书已收到
emails,location,地点
emails,login,登录：
emails,loginOnly,登录
emails,loginToLearnMore,登录员工门户网站来了解有关这个好机会的更多信息
emails,loginToRegister,登录员工门户，为这个激动人心的机会注册
emails,loiApprovedSubject,意向书已批准
emails,loiDeclinedSubject,意向书已拒绝
emails,loiDue1,本邮件旨在通知您，……意向书提交的截止日期
emails,loiDue2,已临近。请务必
emails,loiDue3,在……之前完成您的意向书
emails,loiDue4,如您未及时完成意向书，您的意向书则会标记为未完成，将不会考虑授予您资金。
emails,loiDueSubject,意向书截止日期已临近
emails,loiSubmittedSubject,意向书已收到
emails,matchApproved1,您的$的匹配申请
emails,matchApproved2,为了机构
emails,matchApproved3,已获批准并已安排付款计划
emails,matchApprovedSubject,匹配申请已批准
emails,matchFulfilled1,您的匹配付款金额为
emails,matchFulfilled2,已经完成
emails,matchFulfilledSubject,匹配付款已完成
emails,matchRejctedSubject,匹配申请已拒绝
emails,matchRejctedSubject,匹配请求被拒绝
emails,matchRejected1,您的$的匹配申请
emails,matchRejected2,为了
emails,matchRejected3,已被拒绝
emails,maxParticipants1,加油！您的志愿者项目，
emails,maxParticipants1,就该这么做！您的志愿者项目
emails,maxParticipants2,，于……开始
emails,maxParticipants3,具有达到志愿者最大数量的任务。请务必与您的志愿者沟通项目细节。
emails,name,名称：
emails,notifyCoordinator,项目协调人
emails,notifyCoordinator1,感谢您协调志愿者项目：
emails,notifyCoordinator2,。请返回员工门户，使用本项目的项目协调人工具。
emails,notifyCoordinator3,员工门户链接：
emails,notifyReviewer,审核已指定
emails,notifyReviewer1,您已被指定审核下列申请
emails,notifyReviewer2,资金：
emails,notifyReviewer3,请使用下列链接登录门户，查看指定给您进行审核的所有申请。
emails,notifyReviewer4,请审核来自…的这个申请
emails,on,在
emails,onHoldRequest1,您的申请，
emails,onHoldRequest2,，已在……决定流程中暂停
emails,onHoldRequest3,资金授予。有关进一步的信息，我们将很快与您联系。
emails,organization,机构：
emails,password,密码：
emails,portal,门户
